method,impl,k,photon_count,selection_seed,noise_seed,psnr,ssim,hfen
greedy_discrete,greedy_discrete,80,10000.0,1,0,24.430162,0.333038,11.014466
greedy_discrete,greedy_discrete,80,10000.0,1,1,24.431773,0.33303,11.010793
greedy_discrete,greedy_discrete,80,10000.0,1,2,24.430645,0.333142,11.00927
greedy_discrete,greedy_discrete,80,10000.0,1,3,24.433171,0.333054,11.008547
greedy_discrete,greedy_discrete,80,10000.0,1,4,24.43082,0.333061,11.008259
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,1,0,25.010026,0.402089,13.204883
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,1,1,25.009488,0.402022,13.204066
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,1,2,25.00599,0.402084,13.208132
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,1,3,25.008326,0.402067,13.201451
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,1,4,25.010735,0.402,13.203175
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,0,24.098736,0.329956,12.103814
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,1,24.096691,0.329805,12.113428
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,2,24.097829,0.329959,12.108274
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,3,24.098605,0.329961,12.112664
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,4,24.09907,0.329934,12.109699
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,0,25.568744,0.41286,12.118917
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,1,25.57117,0.412781,12.115107
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,2,25.571374,0.412922,12.109996
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,3,25.566518,0.412728,12.122183
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,4,25.568121,0.41274,12.121068
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,0,24.416498,0.332557,10.922762
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,1,24.414184,0.332567,10.935399
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,2,24.414617,0.33254,10.925795
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,3,24.415655,0.332674,10.93216
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,4,24.415009,0.332568,10.92913
greedy_adam_composite,greedy_adam_composite,40,10000.0,1,0,25.443957,0.410297,11.966401
greedy_adam_composite,greedy_adam_composite,40,10000.0,1,1,25.44429,0.410343,11.97101
greedy_adam_composite,greedy_adam_composite,40,10000.0,1,2,25.447081,0.410376,11.962437
