method,impl,k,photon_count,selection_seed,noise_seed,psnr,ssim,hfen
vcls,vcls,40,100000.0,0,0,45.469587,0.978053,1.861772
vcls,vcls,40,100000.0,0,1,45.469883,0.978052,1.86169
vcls,vcls,40,100000.0,0,2,45.468929,0.978078,1.862441
vcls,vcls,40,100000.0,0,3,45.470943,0.978064,1.861579
vcls,vcls,40,100000.0,0,4,45.469754,0.97807,1.86189
vcls,vcls,80,100000.0,0,0,48.542669,0.988164,0.996111
vcls,vcls,80,100000.0,0,1,48.541006,0.988165,0.997022
vcls,vcls,80,100000.0,0,2,48.540444,0.988149,0.996214
vcls,vcls,80,100000.0,0,3,48.540271,0.98817,0.996793
vcls,vcls,80,100000.0,0,4,48.543019,0.988166,0.995909
greedy_discrete,greedy_discrete,40,100000.0,0,0,41.422094,0.948917,3.268401
greedy_discrete,greedy_discrete,40,100000.0,0,1,41.421166,0.948894,3.268395
greedy_discrete,greedy_discrete,40,100000.0,0,2,41.422573,0.948921,3.267709
greedy_discrete,greedy_discrete,40,100000.0,0,3,41.422009,0.948897,3.268069
greedy_discrete,greedy_discrete,40,100000.0,0,4,41.421601,0.94892,3.269101
greedy_discrete,greedy_discrete,80,100000.0,0,0,45.054738,0.976415,1.76703
greedy_discrete,greedy_discrete,80,100000.0,0,1,45.055464,0.976397,1.76714
greedy_discrete,greedy_discrete,80,100000.0,0,2,45.056863,0.976401,1.766646
greedy_discrete,greedy_discrete,80,100000.0,0,3,45.058938,0.976424,1.766349
greedy_discrete,greedy_discrete,80,100000.0,0,4,45.05811,0.976409,1.766072
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,0,0,43.62429,0.954336,2.232828
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,0,1,43.62496,0.954322,2.233329
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,0,2,43.624981,0.954366,2.233658
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,0,3,43.6264,0.95433,2.232433
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,0,4,43.624507,0.954344,2.233148
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,0,0,46.567947,0.977769,1.44259
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,0,1,46.564242,0.977744,1.443673
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,0,2,46.566036,0.977766,1.441932
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,0,3,46.568593,0.977763,1.441981
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,0,4,46.569602,0.977788,1.442062
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,0,0,44.161008,0.96201,2.103817
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,0,1,44.163741,0.962,2.103731
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,0,2,44.162006,0.961999,2.103835
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,0,3,44.162374,0.962002,2.103912
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,0,4,44.16225,0.961969,2.103684
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,0,0,48.402919,0.98518,0.990357
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,0,1,48.402812,0.985186,0.991137
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,0,2,48.40218,0.985198,0.991757
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,0,3,48.402195,0.985196,0.991447
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,0,4,48.410719,0.985225,0.990596
greedy_adam_composite,greedy_adam_composite,40,100000.0,0,0,44.685478,0.964501,1.985194
greedy_adam_composite,greedy_adam_composite,40,100000.0,0,1,44.68547,0.964526,1.985248
greedy_adam_composite,greedy_adam_composite,40,100000.0,0,2,44.687427,0.96454,1.98521
greedy_adam_composite,greedy_adam_composite,40,100000.0,0,3,44.685278,0.964509,1.985285
greedy_adam_composite,greedy_adam_composite,40,100000.0,0,4,44.685214,0.964496,1.985092
greedy_adam_composite,greedy_adam_composite,80,100000.0,0,0,48.568405,0.981912,0.929956
greedy_adam_composite,greedy_adam_composite,80,100000.0,0,1,48.56861,0.981897,0.929906
greedy_adam_composite,greedy_adam_composite,80,100000.0,0,2,48.570015,0.981928,0.930567
greedy_adam_composite,greedy_adam_composite,80,100000.0,0,3,48.567796,0.981906,0.930554
greedy_adam_composite,greedy_adam_composite,80,100000.0,0,4,48.571763,0.981938,0.930926
vcls,vcls,40,100000.0,1,0,45.48181,0.977508,1.828413
vcls,vcls,40,100000.0,1,1,45.48359,0.977534,1.828221
vcls,vcls,40,100000.0,1,2,45.481757,0.977534,1.828647
vcls,vcls,40,100000.0,1,3,45.485011,0.977537,1.827797
vcls,vcls,40,100000.0,1,4,45.483834,0.977524,1.828096
vcls,vcls,80,100000.0,1,0,48.70524,0.988571,0.955018
vcls,vcls,80,100000.0,1,1,48.700653,0.988573,0.956097
vcls,vcls,80,100000.0,1,2,48.707671,0.988584,0.955444
vcls,vcls,80,100000.0,1,3,48.701877,0.988574,0.956274
vcls,vcls,80,100000.0,1,4,48.705855,0.98858,0.956003
greedy_discrete,greedy_discrete,40,100000.0,1,0,40.449122,0.944138,3.996272
greedy_discrete,greedy_discrete,40,100000.0,1,1,40.450631,0.944179,3.99559
greedy_discrete,greedy_discrete,40,100000.0,1,2,40.450819,0.94415,3.995521
greedy_discrete,greedy_discrete,40,100000.0,1,3,40.450675,0.944143,3.995526
greedy_discrete,greedy_discrete,40,100000.0,1,4,40.448493,0.944122,3.996611
greedy_discrete,greedy_discrete,80,100000.0,1,0,44.995875,0.975455,1.851725
greedy_discrete,greedy_discrete,80,100000.0,1,1,44.995328,0.975452,1.851582
greedy_discrete,greedy_discrete,80,100000.0,1,2,44.998235,0.975455,1.852149
greedy_discrete,greedy_discrete,80,100000.0,1,3,44.994629,0.975445,1.851442
greedy_discrete,greedy_discrete,80,100000.0,1,4,44.995288,0.975456,1.852212
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,1,0,44.502732,0.961283,1.958896
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,1,1,44.502513,0.961313,1.959333
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,1,2,44.504016,0.96132,1.959019
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,1,3,44.501937,0.961311,1.959134
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,1,4,44.501716,0.961294,1.959553
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,1,0,46.745738,0.976872,1.349636
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,1,1,46.744253,0.976885,1.349931
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,1,2,46.749344,0.976902,1.349963
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,1,3,46.750119,0.976905,1.349122
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,1,4,46.749393,0.976928,1.349472
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,1,0,44.468346,0.958699,2.022526
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,1,1,44.468915,0.958707,2.022233
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,1,2,44.469842,0.958731,2.022326
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,1,3,44.469576,0.958728,2.022539
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,1,4,44.468044,0.958651,2.022353
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,1,0,48.440449,0.984781,0.975473
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,1,1,48.441105,0.984773,0.976197
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,1,2,48.443491,0.984774,0.976393
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,1,3,48.441195,0.984762,0.975837
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,1,4,48.445329,0.984779,0.975505
greedy_adam_composite,greedy_adam_composite,40,100000.0,1,0,45.205129,0.966338,1.858395
greedy_adam_composite,greedy_adam_composite,40,100000.0,1,1,45.206404,0.966362,1.858532
greedy_adam_composite,greedy_adam_composite,40,100000.0,1,2,45.208226,0.966398,1.858431
greedy_adam_composite,greedy_adam_composite,40,100000.0,1,3,45.204205,0.966319,1.859016
greedy_adam_composite,greedy_adam_composite,40,100000.0,1,4,45.205118,0.966358,1.859133
greedy_adam_composite,greedy_adam_composite,80,100000.0,1,0,48.675113,0.983834,0.927138
greedy_adam_composite,greedy_adam_composite,80,100000.0,1,1,48.673119,0.983833,0.927252
greedy_adam_composite,greedy_adam_composite,80,100000.0,1,2,48.679347,0.983842,0.926962
greedy_adam_composite,greedy_adam_composite,80,100000.0,1,3,48.679373,0.983863,0.926251
greedy_adam_composite,greedy_adam_composite,80,100000.0,1,4,48.677161,0.983865,0.927059
vcls,vcls,40,100000.0,2,0,45.518877,0.978685,1.822569
vcls,vcls,40,100000.0,2,1,45.521042,0.978699,1.822491
vcls,vcls,40,100000.0,2,2,45.517133,0.978698,1.823253
vcls,vcls,40,100000.0,2,3,45.51725,0.978702,1.82362
vcls,vcls,40,100000.0,2,4,45.518682,0.978698,1.822918
vcls,vcls,80,100000.0,2,0,48.660534,0.98847,0.960257
vcls,vcls,80,100000.0,2,1,48.661569,0.98848,0.959649
vcls,vcls,80,100000.0,2,2,48.66302,0.988484,0.9598
vcls,vcls,80,100000.0,2,3,48.665477,0.988471,0.958996
vcls,vcls,80,100000.0,2,4,48.666622,0.988488,0.959265
greedy_discrete,greedy_discrete,40,100000.0,2,0,41.709564,0.950761,3.164385
greedy_discrete,greedy_discrete,40,100000.0,2,1,41.708633,0.950734,3.164783
greedy_discrete,greedy_discrete,40,100000.0,2,2,41.709459,0.950768,3.164644
greedy_discrete,greedy_discrete,40,100000.0,2,3,41.709352,0.950725,3.164256
greedy_discrete,greedy_discrete,40,100000.0,2,4,41.707494,0.950749,3.164685
greedy_discrete,greedy_discrete,80,100000.0,2,0,44.284541,0.976002,2.115171
greedy_discrete,greedy_discrete,80,100000.0,2,1,44.285714,0.976015,2.115402
greedy_discrete,greedy_discrete,80,100000.0,2,2,44.285841,0.976026,2.116307
greedy_discrete,greedy_discrete,80,100000.0,2,3,44.284865,0.975996,2.114792
greedy_discrete,greedy_discrete,80,100000.0,2,4,44.288862,0.976028,2.11446
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,2,0,45.002246,0.963162,1.878021
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,2,1,45.001971,0.963127,1.878366
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,2,2,45.00303,0.963173,1.87813
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,2,3,45.002297,0.963156,1.878224
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,2,4,45.002302,0.963158,1.877617
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,2,0,45.971451,0.976791,1.592718
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,2,1,45.971873,0.976794,1.592218
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,2,2,45.97123,0.976823,1.592878
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,2,3,45.972033,0.976836,1.593504
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,2,4,45.971369,0.976817,1.592945
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,2,0,41.518697,0.955359,3.503359
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,2,1,41.516704,0.955336,3.504721
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,2,2,41.518471,0.95535,3.504345
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,2,3,41.518088,0.955322,3.504153
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,2,4,41.517797,0.955359,3.504261
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,2,0,47.848004,0.983603,1.026399
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,2,1,47.847433,0.983631,1.026552
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,2,2,47.85328,0.983651,1.027131
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,2,3,47.851044,0.983649,1.026598
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,2,4,47.847205,0.983633,1.026408
greedy_adam_composite,greedy_adam_composite,40,100000.0,2,0,44.979002,0.96043,1.874983
greedy_adam_composite,greedy_adam_composite,40,100000.0,2,1,44.978384,0.960405,1.875419
greedy_adam_composite,greedy_adam_composite,40,100000.0,2,2,44.978906,0.960405,1.87512
greedy_adam_composite,greedy_adam_composite,40,100000.0,2,3,44.97703,0.960393,1.875944
greedy_adam_composite,greedy_adam_composite,40,100000.0,2,4,44.979864,0.960397,1.874135
greedy_adam_composite,greedy_adam_composite,80,100000.0,2,0,48.88282,0.983079,0.879123
greedy_adam_composite,greedy_adam_composite,80,100000.0,2,1,48.882481,0.983076,0.879718
greedy_adam_composite,greedy_adam_composite,80,100000.0,2,2,48.888238,0.98312,0.879559
greedy_adam_composite,greedy_adam_composite,80,100000.0,2,3,48.88768,0.983111,0.87846
greedy_adam_composite,greedy_adam_composite,80,100000.0,2,4,48.892095,0.983146,0.879039
