method,k,psnr,ssim,nrmse,hfen,cache_s,sel_s,rec_s,total_s,roi_type,roi_center_x_mm,roi_center_y_mm,roi_center_z_mm,roi_radius_mm,roi_role,seed
vcls,40,45.80284,0.98057,0.09431,1.83931,103.72516,0.59139,8.96432,113.28087,none,0.00000,0.00000,0.00000,,evaluation_only,0
vcls,80,49.63999,0.99225,0.06063,0.94239,103.72516,4.99995,17.98984,126.71494,none,0.00000,0.00000,0.00000,,evaluation_only,0
greedy_adam_bundle,40,43.86283,0.95743,0.11791,2.21260,0.00000,20.29897,9.43002,29.72899,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_bundle,80,47.21642,0.98197,0.08015,1.40875,0.00000,34.97947,19.46041,54.43988,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_bundle_fd,40,44.29319,0.96111,0.11221,2.06784,0.00000,4333.23548,9.55408,4342.78957,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_bundle_fd,80,47.71940,0.98251,0.07564,1.33462,0.00000,12900.84294,25.90595,12926.74890,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_cmaes_bundle,40,43.36887,0.95037,0.12481,2.41111,0.00000,5870.27374,9.72184,5879.99558,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_cmaes_bundle,80,46.95415,0.97993,0.08260,1.47706,0.00000,11439.14539,18.38826,11457.53365,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
