method,k,psnr,ssim,nrmse,hfen,cache_s,sel_s,rec_s,total_s,roi_type,roi_center_x_mm,roi_center_y_mm,roi_center_z_mm,roi_radius_mm,roi_role,seed
vcls,40,45.91157,0.98082,0.09314,1.81623,96.33856,0.96880,8.99876,106.30612,none,0.00000,0.00000,0.00000,,evaluation_only,3
vcls,80,49.70096,0.99221,0.06021,0.92628,96.33856,3.77450,17.99588,118.10894,none,0.00000,0.00000,0.00000,,evaluation_only,3
greedy_adam_path_div,40,43.33907,0.95729,0.12524,2.38408,0.00000,67.72440,9.42003,77.14443,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
greedy_adam_path_div,80,45.40398,0.98422,0.09874,1.79308,0.00000,99.98279,18.26213,118.24492,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
vcls_adam_bundle_center,40,45.93521,0.98075,0.09288,1.80947,96.33856,1.13525,8.93131,106.40512,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
vcls_adam_bundle_center,80,49.73223,0.99224,0.05999,0.91601,96.33856,4.05773,18.02033,118.41663,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
vcls_adam_bundle,40,45.93521,0.98075,0.09288,1.80947,96.33856,2.60466,8.93000,107.87322,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
vcls_adam_bundle,80,49.73224,0.99224,0.05999,0.91601,96.33856,7.47823,18.02904,121.84583,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
greedy_adam_bundle_center,40,39.57476,0.94880,0.19318,4.65680,0.00000,1.72985,9.91894,11.64878,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
greedy_adam_bundle_center,80,43.73427,0.97685,0.11967,2.52295,0.00000,3.26410,20.00996,23.27406,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
greedy_adam_bundle,40,39.58073,0.94889,0.19305,4.65369,0.00000,3.11120,9.92153,13.03273,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
greedy_adam_bundle,80,43.73640,0.97688,0.11964,2.52081,0.00000,6.80849,20.01162,26.82011,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
