impl,baseline,k,photon_count,n_selection,dpsnr_mean,dpsnr_sd,dpsnr_min,dpsnr_max,dssim_mean,dssim_sd,dssim_min,dssim_max,dhfen_mean,dhfen_sd,dhfen_min,dhfen_max
greedy_adam_bundle,vcls,40,10000.0,3,-0.8281,0.374,-1.333,-0.4391,-0.0214,0.0036,-0.0265,-0.0187,0.1722,0.1294,0.0469,0.3504
greedy_adam_bundle,vcls,80,10000.0,3,-0.8619,0.1547,-1.0735,-0.7078,-0.0107,0.0009,-0.0118,-0.0096,0.4023,0.09,0.3211,0.5277
greedy_adam_composite,vcls,40,10000.0,3,-0.153,0.1435,-0.2568,0.0499,-0.0133,0.0036,-0.0176,-0.0089,-0.0401,0.0359,-0.0905,-0.0095
greedy_adam_composite,vcls,80,10000.0,3,-0.1978,0.0787,-0.2973,-0.1049,-0.0087,0.0005,-0.0094,-0.0082,-0.0382,0.0613,-0.1071,0.0418
greedy_adam_vcl,vcls,40,10000.0,3,-1.0701,0.3777,-1.4223,-0.5462,-0.0192,0.0041,-0.0228,-0.0135,0.3862,0.1952,0.1109,0.541
greedy_adam_vcl,vcls,80,10000.0,3,-0.4293,0.0541,-0.5026,-0.3737,-0.0069,0.0013,-0.0084,-0.0053,0.0844,0.0236,0.0511,0.1036
greedy_discrete,vcls,40,10000.0,3,-3.1837,0.4324,-3.7836,-2.7808,-0.0307,0.0023,-0.0339,-0.0286,1.5794,0.36,1.2943,2.0872
greedy_discrete,vcls,80,10000.0,3,-1.8888,0.2049,-2.167,-1.6795,-0.0143,0.0009,-0.0156,-0.0136,0.869,0.1456,0.7165,1.065
