method,impl,k,photon_count,selection_seed,n_noise,psnr_mean,psnr_std,ssim_mean,ssim_std,hfen_mean,hfen_std,cache_s,sel_s,total_s
vcls,vcls,40,10000.0,0,5,25.0186,0.0009,0.3976,0.0001,12.7526,0.0026,273.43,1.21,274.64
vcls,vcls,80,10000.0,0,5,24.4371,0.0007,0.3289,0.0001,10.8905,0.0018,273.43,3.8,277.23
greedy_discrete,greedy_discrete,40,10000.0,0,5,25.1491,0.0014,0.407,0.0001,12.5651,0.0024,0.0,0.93,0.93
greedy_discrete,greedy_discrete,80,10000.0,0,5,24.4716,0.0011,0.3362,0.0001,10.7925,0.0064,0.0,1.8,1.8
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,0,5,25.0215,0.0018,0.4029,0.0001,12.9483,0.0033,0.0,42.64,42.64
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,0,5,24.2147,0.0011,0.3343,0.0001,11.9892,0.0032,0.0,61.4,61.4
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,0,5,25.3531,0.0017,0.4074,0.0001,12.5764,0.0058,0.0,24.06,24.06
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,0,5,24.4028,0.002,0.3317,0.0,11.0197,0.0101,0.0,44.98,44.98
greedy_adam_composite,greedy_adam_composite,40,10000.0,0,5,25.2822,0.0015,0.4057,0.0001,12.6059,0.0031,0.0,56.83,56.83
greedy_adam_composite,greedy_adam_composite,80,10000.0,0,5,24.3363,0.0012,0.3341,0.0001,11.0516,0.0034,0.0,102.19,102.19
vcls,vcls,40,10000.0,1,5,25.0495,0.001,0.4001,0.0001,12.4866,0.0018,263.09,1.49,264.58
vcls,vcls,80,10000.0,1,5,24.4513,0.0004,0.3292,0.0,10.8446,0.0044,263.09,6.78,269.87
greedy_discrete,greedy_discrete,40,10000.0,1,5,25.2388,0.001,0.4038,0.0001,12.3586,0.0024,0.0,0.85,0.85
greedy_discrete,greedy_discrete,80,10000.0,1,5,24.4313,0.0011,0.3331,0.0,11.0103,0.0023,0.0,1.5,1.5
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,1,5,25.0089,0.0017,0.4021,0.0,13.2043,0.0022,0.0,35.61,35.61
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,5,24.0982,0.0009,0.3299,0.0001,12.1096,0.0034,0.0,58.11,58.11
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,5,25.5692,0.0019,0.4128,0.0001,12.1175,0.0044,0.0,23.58,23.58
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,5,24.4152,0.0008,0.3326,0.0,10.929,0.0045,0.0,44.33,44.33
greedy_adam_composite,greedy_adam_composite,40,10000.0,1,5,25.4455,0.0013,0.4103,0.0,11.9658,0.0035,0.0,55.75,55.75
greedy_adam_composite,greedy_adam_composite,80,10000.0,1,5,24.3762,0.0008,0.3324,0.0001,10.9345,0.0031,0.0,103.88,103.88
vcls,vcls,40,10000.0,2,5,24.9046,0.0007,0.3974,0.0,12.7564,0.0022,262.05,0.99,263.04
vcls,vcls,80,10000.0,2,5,24.4536,0.0007,0.3292,0.0001,10.7606,0.002,262.05,4.46,266.52
greedy_discrete,greedy_discrete,40,10000.0,2,5,25.153,0.0016,0.4047,0.0001,12.8161,0.0039,0.0,0.86,0.86
greedy_discrete,greedy_discrete,80,10000.0,2,5,24.3429,0.0018,0.3328,0.0,11.6776,0.0055,0.0,1.94,1.94
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,5,25.057,0.0012,0.4055,0.0,13.1356,0.0044,0.0,40.08,40.08
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,5,24.2156,0.0005,0.3339,0.0001,11.9192,0.0041,0.0,59.71,59.71
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,5,25.435,0.0009,0.407,0.0001,12.3178,0.003,0.0,24.22,24.22
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,5,24.4062,0.0005,0.3315,0.0001,11.2588,0.0041,0.0,45.41,45.41
greedy_adam_composite,greedy_adam_composite,40,10000.0,2,5,25.4717,0.0015,0.4095,0.0001,11.8297,0.0039,0.0,59.01,59.01
greedy_adam_composite,greedy_adam_composite,80,10000.0,2,5,24.2984,0.0019,0.3313,0.0001,11.2293,0.0045,0.0,107.0,107.0
