impl,baseline,k,photon_count,n_selection,dpsnr_mean,dpsnr_sd,dpsnr_min,dpsnr_max,dssim_mean,dssim_sd,dssim_min,dssim_max,dhfen_mean,dhfen_sd,dhfen_min,dhfen_max
greedy_adam_bundle,vcls,40,100000.0,3,-1.1139,0.5505,-1.8448,-0.5162,-0.0185,0.0037,-0.0237,-0.0155,0.1858,0.1347,0.0551,0.3712
greedy_adam_bundle,vcls,80,100000.0,3,-2.2075,0.3426,-2.6919,-1.9565,-0.0112,0.0006,-0.0117,-0.0104,0.4911,0.1028,0.3939,0.6333
greedy_adam_composite,vcls,40,100000.0,3,-0.5338,0.2069,-0.784,-0.2774,-0.0143,0.003,-0.0183,-0.0112,0.0686,0.0397,0.0305,0.1233
greedy_adam_composite,vcls,80,100000.0,3,0.0745,0.1075,-0.0274,0.2232,-0.0054,0.0006,-0.0062,-0.0047,-0.0584,0.0217,-0.0804,-0.0288
greedy_adam_vcl,vcls,40,100000.0,3,-2.1075,1.344,-4.0006,-1.0143,-0.0194,0.003,-0.0234,-0.0161,0.7058,0.69,0.1942,1.6812
greedy_adam_vcl,vcls,80,100000.0,3,-0.4044,0.2941,-0.8141,-0.1373,-0.0039,0.0008,-0.0048,-0.003,0.0273,0.03,-0.0054,0.067
greedy_discrete,vcls,40,100000.0,3,-4.297,0.5296,-5.0333,-3.8097,-0.0302,0.0023,-0.0334,-0.0279,1.6386,0.3751,1.3416,2.1677
greedy_discrete,vcls,80,100000.0,3,-3.8568,0.3793,-4.3775,-3.4847,-0.0124,0.0006,-0.0131,-0.0118,0.9406,0.1605,0.7702,1.1556
