method,k,psnr,ssim,nrmse,hfen,cache_s,sel_s,rec_s,total_s,roi_type,roi_center_x_mm,roi_center_y_mm,roi_center_z_mm,roi_radius_mm,roi_role,seed
vcls,40,45.80284,0.98057,0.09431,1.83931,101.64810,0.62392,9.04566,111.31767,none,0.00000,0.00000,0.00000,,evaluation_only,0
vcls,80,49.63999,0.99225,0.06063,0.94239,101.64810,5.52001,18.15320,125.32130,none,0.00000,0.00000,0.00000,,evaluation_only,0
greedy_adam_path_div,40,43.33930,0.95729,0.12524,2.38397,0.00000,70.90032,9.50098,80.40130,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_path_div,80,45.40042,0.98419,0.09878,1.79378,0.00000,102.47797,18.39484,120.87281,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
vcls_adam_bundle_center,40,45.78658,0.98054,0.09449,1.84775,101.64810,0.89300,8.97254,111.51363,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
vcls_adam_bundle_center,80,49.68386,0.99226,0.06033,0.93326,101.64810,5.89193,18.16364,125.70366,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
vcls_adam_bundle,40,45.78658,0.98054,0.09449,1.84775,101.64810,2.43882,8.95869,113.04561,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
vcls_adam_bundle,80,49.68342,0.99226,0.06033,0.93328,101.64810,9.88482,18.15850,129.69142,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_bundle_center,40,41.09169,0.95030,0.16223,3.72131,0.00000,2.64312,9.97607,12.61919,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_bundle_center,80,44.59616,0.98062,0.10837,2.48795,0.00000,3.76517,20.10142,23.86659,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_bundle,40,41.07684,0.95006,0.16250,3.72673,0.00000,3.71687,10.00409,13.72097,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_bundle,80,44.55227,0.98060,0.10892,2.50453,0.00000,7.38809,20.12961,27.51770,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
