method,k,psnr,ssim,nrmse,hfen,cache_s,sel_s,rec_s,total_s,roi_type,roi_center_x_mm,roi_center_y_mm,roi_center_z_mm,roi_radius_mm,roi_role,seed
vcls_adam_vcl,40,45.88864,0.98036,0.09338,1.78549,96.97567,20.80002,8.99720,126.77288,none,0.00000,0.00000,0.00000,,evaluation_only,1
vcls_adam_vcl,80,49.84607,0.99262,0.05921,0.90261,96.97567,41.08803,17.98756,156.05125,none,0.00000,0.00000,0.00000,,evaluation_only,1
vcls_adam_bundle_center,40,45.80315,0.98015,0.09431,1.79921,96.97567,1.22582,8.92542,107.12690,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
vcls_adam_bundle_center,80,49.88104,0.99259,0.05897,0.89096,96.97567,3.82174,18.01002,118.80743,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
vcls_adam_bundle,40,45.80315,0.98015,0.09431,1.79921,96.97567,2.71914,8.92646,108.62126,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
vcls_adam_bundle,80,49.88104,0.99259,0.05897,0.89096,96.97567,7.20325,18.01919,122.19811,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
greedy_adam_vcl,40,41.44686,0.94497,0.15573,3.32320,0.00000,20.14138,9.92132,30.06270,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
greedy_adam_vcl,80,46.18026,0.98155,0.09030,1.48226,0.00000,37.95445,19.98329,57.93774,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
greedy_adam_bundle_center,40,41.91348,0.95471,0.14758,3.10909,0.00000,1.76895,9.89837,11.66733,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
greedy_adam_bundle_center,80,46.00575,0.98278,0.09213,1.51970,0.00000,3.88978,19.99152,23.88130,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
greedy_adam_bundle,40,41.88357,0.95485,0.14809,3.12355,0.00000,3.14414,9.90226,13.04640,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
greedy_adam_bundle,80,45.98419,0.98277,0.09236,1.52417,0.00000,6.44818,19.99622,26.44440,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
