method,k,psnr,ssim,nrmse,hfen,cache_s,sel_s,rec_s,total_s,roi_type,roi_center_x_mm,roi_center_y_mm,roi_center_z_mm,roi_radius_mm,roi_role,seed
vcls_adam_vcl,40,45.80379,0.98024,0.09430,1.82784,97.09782,20.63251,8.98030,126.71064,none,0.00000,0.00000,0.00000,,evaluation_only,4
vcls_adam_vcl,80,50.00298,0.99249,0.05815,0.85657,97.09782,43.30800,18.03308,158.43890,none,0.00000,0.00000,0.00000,,evaluation_only,4
vcls_adam_bundle_center,40,45.83334,0.98014,0.09398,1.82043,97.09782,1.10166,8.92133,107.12081,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
vcls_adam_bundle_center,80,49.98191,0.99239,0.05829,0.85711,97.09782,6.55397,18.06802,121.71981,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
vcls_adam_bundle,40,45.83334,0.98014,0.09398,1.82043,97.09782,2.54062,8.92095,108.55940,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
vcls_adam_bundle,80,49.98190,0.99239,0.05829,0.85711,97.09782,9.94078,18.05766,125.09627,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
greedy_adam_vcl,40,41.74135,0.94948,0.15053,3.09642,0.00000,19.96653,9.93413,29.90066,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
greedy_adam_vcl,80,45.82056,0.98028,0.09412,1.62464,0.00000,37.98610,19.97230,57.95840,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
greedy_adam_bundle_center,40,41.64626,0.95578,0.15219,3.39872,0.00000,1.70973,9.94190,11.65163,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
greedy_adam_bundle_center,80,44.21936,0.97763,0.11317,2.31453,0.00000,3.38483,19.97084,23.35567,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
greedy_adam_bundle,40,41.63783,0.95576,0.15234,3.40186,0.00000,3.13530,9.95005,13.08535,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
greedy_adam_bundle,80,44.21860,0.97770,0.11318,2.31552,0.00000,6.51050,19.97085,26.48135,none,0.00000,0.00000,0.00000,,optimization+evaluation,4
