method,k,psnr,ssim,nrmse,hfen,cache_s,sel_s,rec_s,total_s,roi_type,roi_center_x_mm,roi_center_y_mm,roi_center_z_mm,roi_radius_mm,roi_role,seed
greedy_adam_composite,40,45.79077,0.97195,0.09444,1.75390,0.00000,45.24053,9.61968,54.86021,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
greedy_adam_composite,80,50.35483,0.98884,0.05584,0.79899,0.00000,82.17186,19.10384,101.27570,none,0.00000,0.00000,0.00000,,optimization+evaluation,0
