method,impl,k,photon_count,selection_seed,n_noise,psnr_mean,psnr_std,ssim_mean,ssim_std,hfen_mean,hfen_std,cache_s,sel_s,total_s
vcls,vcls,40,100000.0,0,5,45.4698,0.0007,0.9781,0.0,1.8619,0.0003,96.84,0.59,97.43
vcls,vcls,80,100000.0,0,5,48.5415,0.0011,0.9882,0.0,0.9964,0.0004,96.84,4.99,101.83
greedy_discrete,greedy_discrete,40,100000.0,0,5,41.4219,0.0005,0.9489,0.0,3.2683,0.0005,0.0,0.95,0.95
greedy_discrete,greedy_discrete,80,100000.0,0,5,45.0568,0.0016,0.9764,0.0,1.7666,0.0004,0.0,1.61,1.61
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,0,5,43.625,0.0007,0.9543,0.0,2.2331,0.0004,0.0,23.95,23.95
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,0,5,46.5673,0.0019,0.9778,0.0,1.4424,0.0007,0.0,34.03,34.03
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,0,5,44.1623,0.0009,0.962,0.0,2.1038,0.0001,0.0,22.42,22.42
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,0,5,48.4042,0.0033,0.9852,0.0,0.9911,0.0005,0.0,41.07,41.07
greedy_adam_composite,greedy_adam_composite,40,100000.0,0,5,44.6858,0.0008,0.9645,0.0,1.9852,0.0001,0.0,39.82,39.82
greedy_adam_composite,greedy_adam_composite,80,100000.0,0,5,48.5693,0.0014,0.9819,0.0,0.9304,0.0004,0.0,75.1,75.1
vcls,vcls,40,100000.0,1,5,45.4832,0.0013,0.9775,0.0,1.8282,0.0003,98.98,1.13,100.11
vcls,vcls,80,100000.0,1,5,48.7043,0.0026,0.9886,0.0,0.9558,0.0005,98.98,3.79,102.77
greedy_discrete,greedy_discrete,40,100000.0,1,5,40.4499,0.001,0.9441,0.0,3.9959,0.0005,0.0,0.9,0.9
greedy_discrete,greedy_discrete,80,100000.0,1,5,44.9959,0.0012,0.9755,0.0,1.8518,0.0003,0.0,1.62,1.62
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,1,5,44.5026,0.0008,0.9613,0.0,1.9592,0.0002,0.0,20.83,20.83
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,1,5,46.7478,0.0023,0.9769,0.0,1.3496,0.0003,0.0,33.62,33.62
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,1,5,44.4689,0.0007,0.9587,0.0,2.0224,0.0001,0.0,21.56,21.56
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,1,5,48.4423,0.0018,0.9848,0.0,0.9759,0.0004,0.0,41.2,41.2
greedy_adam_composite,greedy_adam_composite,40,100000.0,1,5,45.2058,0.0014,0.9664,0.0,1.8587,0.0003,0.0,38.84,38.84
greedy_adam_composite,greedy_adam_composite,80,100000.0,1,5,48.6768,0.0024,0.9838,0.0,0.9269,0.0004,0.0,78.87,78.87
vcls,vcls,40,100000.0,2,5,45.5186,0.0014,0.9787,0.0,1.823,0.0004,99.01,1.3,100.31
vcls,vcls,80,100000.0,2,5,48.6634,0.0023,0.9885,0.0,0.9596,0.0004,99.01,4.99,103.99
greedy_discrete,greedy_discrete,40,100000.0,2,5,41.7089,0.0008,0.9507,0.0,3.1646,0.0002,0.0,1.13,1.13
greedy_discrete,greedy_discrete,80,100000.0,2,5,44.286,0.0015,0.976,0.0,2.1152,0.0006,0.0,1.61,1.61
greedy_adam_bundle,greedy_adam_bundle,40,100000.0,2,5,45.0024,0.0004,0.9632,0.0,1.8781,0.0003,0.0,21.09,21.09
greedy_adam_bundle,greedy_adam_bundle,80,100000.0,2,5,45.9716,0.0003,0.9768,0.0,1.5929,0.0004,0.0,35.66,35.66
greedy_adam_vcl,greedy_adam_vcl,40,100000.0,2,5,41.518,0.0007,0.9553,0.0,3.5042,0.0004,0.0,21.45,21.45
greedy_adam_vcl,greedy_adam_vcl,80,100000.0,2,5,47.8494,0.0024,0.9836,0.0,1.0266,0.0003,0.0,41.61,41.61
greedy_adam_composite,greedy_adam_composite,40,100000.0,2,5,44.9786,0.0009,0.9604,0.0,1.8751,0.0006,0.0,43.25,43.25
greedy_adam_composite,greedy_adam_composite,80,100000.0,2,5,48.8867,0.0036,0.9831,0.0,0.8792,0.0004,0.0,73.77,73.77
