impl,baseline,k,photon_count,n_selection,dpsnr_mean,dpsnr_sd,dpsnr_min,dpsnr_max,dssim_mean,dssim_sd,dssim_min,dssim_max,dhfen_mean,dhfen_sd,dhfen_min,dhfen_max
greedy_adam_bundle,vcls,40,10000.0,3,0.0383,0.0826,-0.0406,0.1524,0.0051,0.0025,0.002,0.0081,0.4309,0.2163,0.1957,0.7178
greedy_adam_bundle,vcls,80,10000.0,3,-0.2712,0.0583,-0.3531,-0.2224,0.0036,0.0021,0.0007,0.0054,1.1741,0.0688,1.0987,1.265
greedy_adam_composite,vcls,40,10000.0,3,0.4089,0.1242,0.2636,0.5671,0.0102,0.0016,0.0082,0.0121,-0.5314,0.3185,-0.9267,-0.1467
greedy_adam_composite,vcls,80,10000.0,3,-0.1104,0.0334,-0.1552,-0.0751,0.0035,0.0013,0.0021,0.0052,0.2399,0.1644,0.0899,0.4687
greedy_adam_vcl,vcls,40,10000.0,3,0.4616,0.0899,0.3346,0.5304,0.0107,0.0015,0.0095,0.0127,-0.328,0.111,-0.4387,-0.1762
greedy_adam_vcl,vcls,80,10000.0,3,-0.0393,0.0058,-0.0474,-0.0343,0.0028,0.0004,0.0023,0.0034,0.2373,0.1854,0.0844,0.4982
greedy_discrete,vcls,40,10000.0,3,0.1894,0.0481,0.1305,0.2484,0.0068,0.0023,0.0038,0.0094,-0.0852,0.1054,-0.1875,0.0597
greedy_discrete,vcls,80,10000.0,3,-0.0321,0.0599,-0.1108,0.0346,0.0049,0.0017,0.0036,0.0073,0.3282,0.43,-0.098,0.917
