method,k,psnr,ssim,nrmse,hfen,cache_s,sel_s,rec_s,total_s,roi_type,roi_center_x_mm,roi_center_y_mm,roi_center_z_mm,roi_radius_mm,roi_role,seed
vcls,40,45.85354,0.98115,0.09376,1.79915,96.97964,1.20939,9.01201,107.20105,none,0.00000,0.00000,0.00000,,evaluation_only,2
vcls,80,49.79597,0.99254,0.05955,0.90346,96.97964,4.64889,18.02109,119.64963,none,0.00000,0.00000,0.00000,,evaluation_only,2
greedy_adam_path_div,40,43.33997,0.95730,0.12523,2.38377,0.00000,67.59935,9.41513,77.01448,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
greedy_adam_path_div,80,45.40954,0.98424,0.09868,1.79100,0.00000,99.83327,18.26554,118.09881,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
vcls_adam_bundle_center,40,45.88529,0.98119,0.09342,1.79315,96.97964,1.37386,8.94443,107.29793,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
vcls_adam_bundle_center,80,49.82913,0.99251,0.05933,0.89402,96.97964,4.91116,18.02649,119.91730,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
vcls_adam_bundle,40,45.88529,0.98119,0.09342,1.79315,96.97964,2.83990,8.94282,108.76236,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
vcls_adam_bundle,80,49.82913,0.99251,0.05933,0.89402,96.97964,8.34909,18.02113,123.34986,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
greedy_adam_bundle_center,40,41.22751,0.94823,0.15971,3.50160,0.00000,1.78258,9.86455,11.64713,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
greedy_adam_bundle_center,80,46.33987,0.98242,0.08866,1.51518,0.00000,3.52652,19.93722,23.46374,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
greedy_adam_bundle,40,41.22152,0.94823,0.15982,3.50343,0.00000,3.16518,9.86987,13.03505,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
greedy_adam_bundle,80,46.33079,0.98250,0.08875,1.51883,0.00000,6.62158,19.93188,26.55346,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
