psnr,ssim,nrmse,hfen,sel_s,lr
40.84984,0.95009,0.16681,3.87992,22.17821,0.05000
40.57053,0.94941,0.17226,4.06029,21.28703,0.50000
42.10821,0.95272,0.14431,3.11184,21.16495,2.00000
43.25996,0.95533,0.12639,2.56452,21.41698,5.00000
