method,k,psnr,ssim,nrmse,hfen,cache_s,sel_s,rec_s,total_s,roi_type,roi_center_x_mm,roi_center_y_mm,roi_center_z_mm,roi_radius_mm,roi_role,seed
vcls_adam_vcl,40,45.90788,0.98148,0.09318,1.78738,96.95334,20.91499,9.01722,126.88555,none,0.00000,0.00000,0.00000,,evaluation_only,2
vcls_adam_vcl,80,49.79055,0.99257,0.05959,0.90174,96.95334,41.91299,18.02565,156.89198,none,0.00000,0.00000,0.00000,,evaluation_only,2
vcls_adam_bundle_center,40,45.88529,0.98119,0.09342,1.79315,96.95334,1.40236,8.95009,107.30580,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
vcls_adam_bundle_center,80,49.82913,0.99251,0.05933,0.89402,96.95334,4.90419,18.04578,119.90331,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
vcls_adam_bundle,40,45.88529,0.98119,0.09342,1.79315,96.95334,2.84117,8.95700,108.75151,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
vcls_adam_bundle,80,49.82913,0.99251,0.05933,0.89402,96.95334,8.32760,18.04648,123.32742,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
greedy_adam_vcl,40,40.48042,0.94819,0.17405,3.96431,0.00000,20.01991,9.93805,29.95796,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
greedy_adam_vcl,80,46.08195,0.98130,0.09133,1.58763,0.00000,38.03211,19.99890,58.03101,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
greedy_adam_bundle_center,40,41.22751,0.94823,0.15971,3.50160,0.00000,1.71264,9.87976,11.59240,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
greedy_adam_bundle_center,80,46.33987,0.98242,0.08866,1.51518,0.00000,3.19515,19.93871,23.13385,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
greedy_adam_bundle,40,41.22152,0.94823,0.15982,3.50344,0.00000,3.12253,9.87849,13.00102,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
greedy_adam_bundle,80,46.33079,0.98250,0.08875,1.51883,0.00000,6.40616,19.94674,26.35290,none,0.00000,0.00000,0.00000,,optimization+evaluation,2
