method,impl,k,photon_count,selection_seed,noise_seed,psnr,ssim,hfen
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,1,4,42.787847,0.94238,2.092905
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,0,43.274919,0.948547,1.597606
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,1,43.273782,0.948582,1.598355
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,2,43.284132,0.948763,1.598806
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,3,43.282264,0.948667,1.595652
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,1,4,43.27623,0.948812,1.599907
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,0,42.253626,0.939883,2.515723
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,1,42.26546,0.940002,2.514155
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,2,42.264526,0.94004,2.513945
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,3,42.2576,0.939977,2.516158
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,1,4,42.251278,0.939922,2.514525
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,0,43.704886,0.953481,1.376953
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,1,43.721988,0.953629,1.375008
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,2,43.716061,0.953591,1.375917
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,3,43.703852,0.953475,1.375804
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,1,4,43.698958,0.953539,1.373448
greedy_adam_composite,greedy_adam_composite,40,10000.0,1,0,43.544295,0.952397,1.883968
greedy_adam_composite,greedy_adam_composite,40,10000.0,1,1,43.544615,0.952438,1.885449
greedy_adam_composite,greedy_adam_composite,40,10000.0,1,2,43.554944,0.95264,1.883079
greedy_adam_composite,greedy_adam_composite,40,10000.0,1,3,43.55479,0.95258,1.882851
greedy_adam_composite,greedy_adam_composite,40,10000.0,1,4,43.552533,0.952477,1.881895
greedy_adam_composite,greedy_adam_composite,80,10000.0,1,0,43.888422,0.952297,1.228625
greedy_adam_composite,greedy_adam_composite,80,10000.0,1,1,43.885334,0.952234,1.229733
greedy_adam_composite,greedy_adam_composite,80,10000.0,1,2,43.894489,0.952349,1.228023
greedy_adam_composite,greedy_adam_composite,80,10000.0,1,3,43.887914,0.952299,1.227176
greedy_adam_composite,greedy_adam_composite,80,10000.0,1,4,43.901998,0.952408,1.224865
vcls,vcls,40,10000.0,2,0,43.5319,0.96302,1.967766
vcls,vcls,40,10000.0,2,1,43.53531,0.963086,1.967233
vcls,vcls,40,10000.0,2,2,43.536594,0.963127,1.967691
vcls,vcls,40,10000.0,2,3,43.53499,0.963083,1.966826
vcls,vcls,40,10000.0,2,4,43.535061,0.963072,1.966754
vcls,vcls,80,10000.0,2,0,44.052723,0.960313,1.277143
vcls,vcls,80,10000.0,2,1,44.061,0.960324,1.279117
vcls,vcls,80,10000.0,2,2,44.066065,0.96042,1.279242
vcls,vcls,80,10000.0,2,3,44.056542,0.960303,1.280644
vcls,vcls,80,10000.0,2,4,44.059828,0.960402,1.281824
greedy_discrete,greedy_discrete,40,10000.0,2,0,40.752224,0.934436,3.262688
greedy_discrete,greedy_discrete,40,10000.0,2,1,40.753462,0.934406,3.26162
greedy_discrete,greedy_discrete,40,10000.0,2,2,40.749615,0.934402,3.261902
greedy_discrete,greedy_discrete,40,10000.0,2,3,40.759579,0.934511,3.261141
greedy_discrete,greedy_discrete,40,10000.0,2,4,40.75484,0.93439,3.260618
greedy_discrete,greedy_discrete,80,10000.0,2,0,41.89036,0.946763,2.347743
greedy_discrete,greedy_discrete,80,10000.0,2,1,41.879262,0.94658,2.348665
greedy_discrete,greedy_discrete,80,10000.0,2,2,41.889575,0.946736,2.343807
greedy_discrete,greedy_discrete,80,10000.0,2,3,41.902535,0.946792,2.342655
greedy_discrete,greedy_discrete,80,10000.0,2,4,41.899205,0.946875,2.340189
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,0,43.093875,0.944446,2.016426
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,1,43.093608,0.944266,2.014848
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,2,43.095185,0.944357,2.012818
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,3,43.099432,0.944404,2.011567
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,4,43.096195,0.944336,2.015001
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,0,42.981374,0.949596,1.808957
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,1,42.98226,0.94955,1.80788
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,2,42.990543,0.949727,1.809256
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,3,42.985248,0.949628,1.806478
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,4,42.989389,0.949619,1.804083
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,0,42.106025,0.940217,2.470888
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,1,42.111487,0.940271,2.475261
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,2,42.121718,0.940391,2.473885
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,3,42.113703,0.940252,2.473036
greedy_adam_vcl,greedy_adam_vcl,40,10000.0,2,4,42.109287,0.940226,2.477017
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,0,43.555571,0.951841,1.383844
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,1,43.561755,0.951976,1.383983
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,2,43.550808,0.951926,1.386013
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,3,43.549372,0.951848,1.381231
greedy_adam_vcl,greedy_adam_vcl,80,10000.0,2,4,43.565414,0.951952,1.380919
greedy_adam_composite,greedy_adam_composite,40,10000.0,2,0,43.284306,0.945583,1.947298
greedy_adam_composite,greedy_adam_composite,40,10000.0,2,1,43.28002,0.945396,1.946061
greedy_adam_composite,greedy_adam_composite,40,10000.0,2,2,43.288613,0.945636,1.946249
greedy_adam_composite,greedy_adam_composite,40,10000.0,2,3,43.282438,0.945463,1.947025
greedy_adam_composite,greedy_adam_composite,40,10000.0,2,4,43.278255,0.945456,1.948265
greedy_adam_composite,greedy_adam_composite,80,10000.0,2,0,43.750985,0.950955,1.322291
greedy_adam_composite,greedy_adam_composite,80,10000.0,2,1,43.753203,0.950946,1.323578
greedy_adam_composite,greedy_adam_composite,80,10000.0,2,2,43.761818,0.950962,1.320936
greedy_adam_composite,greedy_adam_composite,80,10000.0,2,3,43.775558,0.951086,1.319528
greedy_adam_composite,greedy_adam_composite,80,10000.0,2,4,43.767901,0.951052,1.320708
