method,k,psnr,ssim,nrmse,hfen,cache_s,sel_s,rec_s,total_s,roi_type,roi_center_x_mm,roi_center_y_mm,roi_center_z_mm,roi_radius_mm,roi_role,seed
vcls_adam_vcl,40,45.96666,0.98100,0.09255,1.80041,97.20132,20.75278,9.00150,126.95560,none,0.00000,0.00000,0.00000,,evaluation_only,3
vcls_adam_vcl,80,49.79566,0.99237,0.05956,0.90474,97.20132,41.22580,18.02149,156.44861,none,0.00000,0.00000,0.00000,,evaluation_only,3
vcls_adam_bundle_center,40,45.93521,0.98075,0.09288,1.80947,97.20132,1.16414,8.94202,107.30748,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
vcls_adam_bundle_center,80,49.73223,0.99224,0.05999,0.91601,97.20132,4.09457,18.04376,119.33966,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
vcls_adam_bundle,40,45.93521,0.98075,0.09288,1.80947,97.20132,2.59463,8.94545,108.74140,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
vcls_adam_bundle,80,49.73224,0.99224,0.05999,0.91601,97.20132,7.52126,18.04519,122.76778,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
greedy_adam_vcl,40,40.52821,0.94296,0.17310,3.95902,0.00000,20.14691,9.97468,30.12158,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
greedy_adam_vcl,80,45.95058,0.98204,0.09272,1.62960,0.00000,38.18108,20.00955,58.19063,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
greedy_adam_bundle_center,40,39.57476,0.94880,0.19318,4.65680,0.00000,1.75085,9.92803,11.67888,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
greedy_adam_bundle_center,80,43.73427,0.97685,0.11967,2.52295,0.00000,4.86768,20.02031,24.88799,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
greedy_adam_bundle,40,39.58073,0.94889,0.19305,4.65369,0.00000,3.13844,9.92624,13.06469,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
greedy_adam_bundle,80,43.73640,0.97688,0.11964,2.52081,0.00000,6.44849,20.01501,26.46350,none,0.00000,0.00000,0.00000,,optimization+evaluation,3
