method,k,psnr,ssim,nrmse,hfen,cache_s,sel_s,rec_s,total_s,roi_type,roi_center_x_mm,roi_center_y_mm,roi_center_z_mm,roi_radius_mm,roi_role,seed
vcls,40,45.81858,0.98003,0.09414,1.80376,102.43640,1.19859,9.06481,112.69980,none,0.00000,0.00000,0.00000,,evaluation_only,1
vcls,80,49.84716,0.99261,0.05920,0.89907,102.43640,3.96742,18.13053,124.53435,none,0.00000,0.00000,0.00000,,evaluation_only,1
greedy_adam_path_div,40,43.34005,0.95730,0.12523,2.38382,0.00000,70.53325,9.48977,80.02302,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
greedy_adam_path_div,80,45.40170,0.98420,0.09877,1.79422,0.00000,102.88134,18.39806,121.27940,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
vcls_adam_bundle_center,40,45.80315,0.98015,0.09431,1.79921,102.43640,1.56420,9.00334,113.00393,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
vcls_adam_bundle_center,80,49.88104,0.99259,0.05897,0.89096,102.43640,4.38842,18.09653,124.92135,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
vcls_adam_bundle,40,45.80315,0.98015,0.09431,1.79921,102.43640,3.10608,8.96982,114.51230,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
vcls_adam_bundle,80,49.88104,0.99259,0.05897,0.89096,102.43640,7.20976,18.02958,127.67575,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
greedy_adam_bundle_center,40,41.91348,0.95471,0.14758,3.10909,0.00000,1.71046,9.90270,11.61316,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
greedy_adam_bundle_center,80,46.00575,0.98278,0.09213,1.51970,0.00000,3.23352,19.99173,23.22524,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
greedy_adam_bundle,40,41.88357,0.95485,0.14809,3.12355,0.00000,3.13823,9.89629,13.03452,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
greedy_adam_bundle,80,45.98419,0.98277,0.09236,1.52417,0.00000,6.68409,19.99084,26.67493,none,0.00000,0.00000,0.00000,,optimization+evaluation,1
