view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
334,244.3948,-29.1221,785.1479,-376.2676,-485.0385
335,107.0797,29.6190,-828.2014,-254.4664,492.5710
336,284.1115,29.3508,842.4942,211.7997,488.5094
337,92.4991,13.8212,-966.8655,-42.1993,238.0908
338,79.8163,5.5178,-976.3964,175.3943,95.8319
339,29.2014,-19.9109,-457.1773,817.9753,-339.4145
340,351.4862,-26.4211,132.1387,882.7059,-443.4711
341,98.5018,19.2341,-930.6705,-139.1188,328.3219
342,18.5439,-21.9772,-293.9314,876.2343,-372.9810
343,98.1103,21.8100,-916.0497,-130.5405,370.2824
344,160.0010,-10.2838,-335.3794,-921.4990,-177.9244
345,89.9481,14.7009,-964.0160,0.8738,252.9215
346,292.4228,27.0210,820.7230,338.6593,452.7921
347,102.4195,14.7508,-941.2419,-207.2818,253.7610
348,117.3383,25.7996,-797.0803,-412.0792,433.7633
349,336.1422,-27.2133,358.4906,810.5898,-455.7691
350,99.5826,18.7195,-930.7504,-157.1337,319.8587
351,18.5863,-21.9515,-294.6326,876.1748,-372.5672
352,313.4526,-28.7046,634.5926,601.2094,-478.6820
353,145.9670,-11.9262,-545.7510,-808.1052,-205.9580
354,143.4352,-11.2907,-582.2413,-784.9946,-195.1296
355,9.1240,-21.6577,-146.8821,914.5655,-367.8212
356,27.8823,-18.5047,-441.9897,835.3956,-316.3168
357,356.5047,-23.3995,55.7652,912.9753,-395.8073
358,20.8085,29.4106,-308.4243,811.5683,489.4162
359,145.2218,-3.1657,-567.6190,-817.3594,-55.0385
360,93.2361,15.8989,-956.9892,-54.1090,273.0217
361,156.6895,-9.3464,-389.1491,-903.1402,-161.8570
362,45.9521,-17.1710,-684.4161,662.0407,-294.2340
363,138.0054,-6.0026,-663.1578,-736.6521,-104.2220
364,357.3260,-25.5710,41.9420,898.0440,-430.1800
365,122.2714,0.4948,-842.6587,-532.1176,8.6065
366,347.4420,-26.2282,194.3873,872.6407,-440.4641
367,284.2961,28.7461,846.7559,215.7741,479.3151
368,101.5818,16.4371,-936.4478,-191.9149,282.0127
369,93.4231,15.1171,-960.4371,-57.4483,259.9176
370,238.4697,-29.0210,742.8405,-455.7530,-483.5020
371,196.0173,-20.1982,258.0893,-899.0413,-344.1100
372,332.7436,-27.5162,404.8039,785.7595,-460.4485
373,16.9032,-21.2013,-270.1659,889.0424,-360.4316
374,98.7577,17.0992,-941.4821,-145.0383,293.0398
375,45.7578,-16.8162,-683.4605,665.6155,-288.3310
376,97.4569,19.3884,-932.1722,-122.0090,330.8559
377,64.1222,-7.9798,-888.0234,430.7762,-138.3584
378,81.8998,5.3112,-982.4633,139.8280,92.2538
379,183.6893,-16.3130,61.5475,-954.5372,-279.9418
380,10.1242,-24.2944,-159.6782,894.2392,-410.0442
381,100.3759,19.1831,-925.9095,-169.5339,327.4857
382,205.8600,-19.2768,410.3369,-846.5601,-329.0236
383,280.2594,27.6777,868.4900,157.1959,462.9379
384,3.0034,-23.2875,-47.9657,914.1918,-394.0172
385,53.0073,-15.7041,-766.3170,577.3076,-269.7613
386,93.4566,15.2111,-959.9767,-57.9851,261.4946
387,89.9776,12.8766,-971.5797,0.3804,222.1031
388,227.7332,-25.4227,666.1171,-605.4155,-427.8517
