step,coverage,i_vcl
9.600000000000000000e+01,8.471430540084838867e-01,5.187706351280212402e-01
9.700000000000000000e+01,8.480351567268371582e-01,5.286547541618347168e-01
9.800000000000000000e+01,8.477291464805603027e-01,5.464522838592529297e-01
9.900000000000000000e+01,8.482556939125061035e-01,5.386974811553955078e-01
1.000000000000000000e+02,8.486600518226623535e-01,5.403251647949218750e-01
1.010000000000000000e+02,8.494476675987243652e-01,5.489072799682617188e-01
1.020000000000000000e+02,8.494157791137695312e-01,5.686313509941101074e-01
1.030000000000000000e+02,8.497735857963562012e-01,5.474666953086853027e-01
1.040000000000000000e+02,8.490808010101318359e-01,5.200021862983703613e-01
1.050000000000000000e+02,8.485100269317626953e-01,5.277086496353149414e-01
1.060000000000000000e+02,8.484280109405517578e-01,5.287570357322692871e-01
1.070000000000000000e+02,8.488273024559020996e-01,5.413163900375366211e-01
1.080000000000000000e+02,8.493958711624145508e-01,5.451602339744567871e-01
1.090000000000000000e+02,8.505033254623413086e-01,5.493606328964233398e-01
1.100000000000000000e+02,8.521342873573303223e-01,5.392010807991027832e-01
1.110000000000000000e+02,8.523326516151428223e-01,5.361872315406799316e-01
1.120000000000000000e+02,8.511736989021301270e-01,5.491102933883666992e-01
1.130000000000000000e+02,8.505572676658630371e-01,5.431206226348876953e-01
1.140000000000000000e+02,8.512510061264038086e-01,5.653015375137329102e-01
1.150000000000000000e+02,8.513856530189514160e-01,5.734357833862304688e-01
1.160000000000000000e+02,8.497799634933471680e-01,5.637249946594238281e-01
1.170000000000000000e+02,8.487150073051452637e-01,5.594332814216613770e-01
1.180000000000000000e+02,8.484377264976501465e-01,5.529869198799133301e-01
1.190000000000000000e+02,8.502143621444702148e-01,5.681720376014709473e-01
1.200000000000000000e+02,8.513391613960266113e-01,5.603168010711669922e-01
1.210000000000000000e+02,8.523264527320861816e-01,5.414030551910400391e-01
1.220000000000000000e+02,8.527283072471618652e-01,5.417952537536621094e-01
1.230000000000000000e+02,8.513094186782836914e-01,5.566067099571228027e-01
1.240000000000000000e+02,8.493775129318237305e-01,5.583727359771728516e-01
1.250000000000000000e+02,8.481172323226928711e-01,5.600363612174987793e-01
1.260000000000000000e+02,8.469068408012390137e-01,5.560855865478515625e-01
1.270000000000000000e+02,8.472658395767211914e-01,5.510866045951843262e-01
1.280000000000000000e+02,8.481148481369018555e-01,5.525435209274291992e-01
1.290000000000000000e+02,8.485729098320007324e-01,5.463078022003173828e-01
1.300000000000000000e+02,8.468616604804992676e-01,5.687801241874694824e-01
1.310000000000000000e+02,8.431835770606994629e-01,5.561740398406982422e-01
1.320000000000000000e+02,8.419771790504455566e-01,5.369315147399902344e-01
1.330000000000000000e+02,8.421139717102050781e-01,5.567486286163330078e-01
1.340000000000000000e+02,8.417170643806457520e-01,5.643877387046813965e-01
1.350000000000000000e+02,8.420315384864807129e-01,5.573306083679199219e-01
1.360000000000000000e+02,8.431020975112915039e-01,5.756812095642089844e-01
1.370000000000000000e+02,8.451048135757446289e-01,5.449185967445373535e-01
1.380000000000000000e+02,8.469781875610351562e-01,5.466129183769226074e-01
1.390000000000000000e+02,8.488485813140869141e-01,5.524144172668457031e-01
1.400000000000000000e+02,8.491720557212829590e-01,5.332565307617187500e-01
1.410000000000000000e+02,8.489848375320434570e-01,5.468669533729553223e-01
1.420000000000000000e+02,8.488882184028625488e-01,5.560886859893798828e-01
1.430000000000000000e+02,8.489227890968322754e-01,5.546959638595581055e-01
1.440000000000000000e+02,8.492049574851989746e-01,5.530191063880920410e-01
1.450000000000000000e+02,8.476197123527526855e-01,5.632410645484924316e-01
1.460000000000000000e+02,8.465801477432250977e-01,5.502142310142517090e-01
1.470000000000000000e+02,8.483488559722900391e-01,5.388208627700805664e-01
1.480000000000000000e+02,8.498201966285705566e-01,5.415801405906677246e-01
1.490000000000000000e+02,8.497171401977539062e-01,5.400940179824829102e-01
