step,coverage,i_vcl
0.000000000000000000e+00,9.983106255531311035e-01,7.795763611793518066e-01
1.000000000000000000e+00,9.986043572425842285e-01,7.756726741790771484e-01
2.000000000000000000e+00,9.987171292304992676e-01,7.813230752944946289e-01
3.000000000000000000e+00,9.984924197196960449e-01,7.779912948608398438e-01
4.000000000000000000e+00,9.985175728797912598e-01,7.730896472930908203e-01
5.000000000000000000e+00,9.985395073890686035e-01,7.758804559707641602e-01
6.000000000000000000e+00,9.985925555229187012e-01,7.671368122100830078e-01
7.000000000000000000e+00,9.985839128494262695e-01,7.812605500221252441e-01
8.000000000000000000e+00,9.984760880470275879e-01,7.785907387733459473e-01
9.000000000000000000e+00,9.982649087905883789e-01,7.817376255989074707e-01
1.000000000000000000e+01,9.982306361198425293e-01,7.756786346435546875e-01
1.100000000000000000e+01,9.981589913368225098e-01,7.657384872436523438e-01
1.200000000000000000e+01,9.979681968688964844e-01,7.739620208740234375e-01
1.300000000000000000e+01,9.978544116020202637e-01,7.842750549316406250e-01
1.400000000000000000e+01,9.981371760368347168e-01,7.702636718750000000e-01
1.500000000000000000e+01,9.981023073196411133e-01,7.839253544807434082e-01
1.600000000000000000e+01,9.978848099708557129e-01,7.680867314338684082e-01
1.700000000000000000e+01,9.978567957878112793e-01,7.634587883949279785e-01
1.800000000000000000e+01,9.978209733963012695e-01,7.651440501213073730e-01
1.900000000000000000e+01,9.977281689643859863e-01,7.719413042068481445e-01
2.000000000000000000e+01,9.977263808250427246e-01,7.657074332237243652e-01
2.100000000000000000e+01,9.978485107421875000e-01,7.577611804008483887e-01
2.200000000000000000e+01,9.979910850524902344e-01,7.474702596664428711e-01
2.300000000000000000e+01,9.979697465896606445e-01,7.695614695549011230e-01
2.400000000000000000e+01,9.979932308197021484e-01,7.679901123046875000e-01
2.500000000000000000e+01,9.983260035514831543e-01,7.759324908256530762e-01
2.600000000000000000e+01,9.984811544418334961e-01,7.841920256614685059e-01
2.700000000000000000e+01,9.984049201011657715e-01,7.745662927627563477e-01
2.800000000000000000e+01,9.982364773750305176e-01,7.703526616096496582e-01
2.900000000000000000e+01,9.981462359428405762e-01,7.623481154441833496e-01
3.000000000000000000e+01,9.981319904327392578e-01,7.633966803550720215e-01
3.100000000000000000e+01,9.980846643447875977e-01,7.688360214233398438e-01
3.200000000000000000e+01,9.979994297027587891e-01,7.752277255058288574e-01
3.300000000000000000e+01,9.979299902915954590e-01,7.732236981391906738e-01
3.400000000000000000e+01,9.979600906372070312e-01,7.708013057708740234e-01
3.500000000000000000e+01,9.979640841484069824e-01,7.675464153289794922e-01
3.600000000000000000e+01,9.978767037391662598e-01,7.661723494529724121e-01
3.700000000000000000e+01,9.978709220886230469e-01,7.705745100975036621e-01
3.800000000000000000e+01,9.977965950965881348e-01,7.706890106201171875e-01
3.900000000000000000e+01,9.978220462799072266e-01,7.824820876121520996e-01
4.000000000000000000e+01,9.977945089340209961e-01,7.821434736251831055e-01
4.100000000000000000e+01,9.976395368576049805e-01,7.772244215011596680e-01
4.200000000000000000e+01,9.974926710128784180e-01,7.916262149810791016e-01
4.300000000000000000e+01,9.974855780601501465e-01,7.807315587997436523e-01
4.400000000000000000e+01,9.973925352096557617e-01,7.641912698745727539e-01
4.500000000000000000e+01,9.973495602607727051e-01,7.534983158111572266e-01
