step,coverage,i_vcl
4.600000000000000000e+01,9.970915913581848145e-01,7.608470916748046875e-01
4.700000000000000000e+01,9.967758059501647949e-01,7.580717802047729492e-01
4.800000000000000000e+01,9.963183999061584473e-01,7.575795054435729980e-01
4.900000000000000000e+01,9.959205985069274902e-01,7.480668425559997559e-01
5.000000000000000000e+01,9.961354732513427734e-01,7.468995451927185059e-01
5.100000000000000000e+01,9.963295459747314453e-01,7.558928728103637695e-01
5.200000000000000000e+01,9.964145421981811523e-01,7.548025250434875488e-01
5.300000000000000000e+01,9.965398311614990234e-01,7.495085597038269043e-01
5.400000000000000000e+01,9.966406226158142090e-01,7.561668753623962402e-01
5.500000000000000000e+01,9.965904355049133301e-01,7.636672258377075195e-01
5.600000000000000000e+01,9.965957999229431152e-01,7.710871696472167969e-01
5.700000000000000000e+01,9.966171383857727051e-01,7.781518101692199707e-01
5.800000000000000000e+01,9.966528415679931641e-01,7.720569968223571777e-01
5.900000000000000000e+01,9.967098236083984375e-01,7.555080056190490723e-01
6.000000000000000000e+01,9.967389106750488281e-01,7.580478787422180176e-01
6.100000000000000000e+01,9.967402815818786621e-01,7.614544630050659180e-01
6.200000000000000000e+01,9.968683123588562012e-01,7.628762722015380859e-01
6.300000000000000000e+01,9.970316886901855469e-01,7.669600844383239746e-01
6.400000000000000000e+01,9.969982504844665527e-01,7.628871798515319824e-01
6.500000000000000000e+01,9.969857335090637207e-01,7.619816064834594727e-01
6.600000000000000000e+01,9.969548583030700684e-01,7.647465467453002930e-01
6.700000000000000000e+01,9.968336820602416992e-01,7.507143616676330566e-01
6.800000000000000000e+01,9.966421127319335938e-01,7.401816248893737793e-01
6.900000000000000000e+01,9.964876770973205566e-01,7.504537105560302734e-01
7.000000000000000000e+01,9.961469769477844238e-01,7.565692067146301270e-01
7.100000000000000000e+01,9.962250590324401855e-01,7.575176954269409180e-01
7.200000000000000000e+01,9.966813921928405762e-01,7.472059130668640137e-01
7.300000000000000000e+01,9.970622658729553223e-01,7.551049590110778809e-01
7.400000000000000000e+01,9.972373247146606445e-01,7.681184411048889160e-01
7.500000000000000000e+01,9.969817996025085449e-01,7.699518203735351562e-01
7.600000000000000000e+01,9.967215061187744141e-01,7.648674845695495605e-01
7.700000000000000000e+01,9.967234134674072266e-01,7.586839199066162109e-01
7.800000000000000000e+01,9.962843656539916992e-01,7.466689944267272949e-01
7.900000000000000000e+01,9.961029887199401855e-01,7.543039917945861816e-01
8.000000000000000000e+01,9.959427118301391602e-01,7.514229416847229004e-01
8.100000000000000000e+01,9.956103563308715820e-01,7.533245086669921875e-01
8.200000000000000000e+01,9.952390193939208984e-01,7.524318099021911621e-01
8.300000000000000000e+01,9.953916072845458984e-01,7.613446712493896484e-01
8.400000000000000000e+01,9.953935146331787109e-01,7.569344043731689453e-01
8.500000000000000000e+01,9.956247210502624512e-01,7.615376114845275879e-01
8.600000000000000000e+01,9.956861138343811035e-01,7.593280076980590820e-01
8.700000000000000000e+01,9.955395460128784180e-01,7.630104422569274902e-01
8.800000000000000000e+01,9.956440925598144531e-01,7.620521783828735352e-01
8.900000000000000000e+01,9.954794049263000488e-01,7.621306777000427246e-01
9.000000000000000000e+01,9.949956536293029785e-01,7.553265690803527832e-01
9.100000000000000000e+01,9.950388073921203613e-01,7.436109185218811035e-01
9.200000000000000000e+01,9.951084852218627930e-01,7.680416703224182129e-01
9.300000000000000000e+01,9.948713183403015137e-01,7.481368184089660645e-01
9.400000000000000000e+01,9.945353269577026367e-01,7.557953000068664551e-01
9.500000000000000000e+01,9.948486089706420898e-01,7.472790479660034180e-01
9.600000000000000000e+01,9.948967099189758301e-01,7.528844475746154785e-01
9.700000000000000000e+01,9.949533343315124512e-01,7.517370581626892090e-01
9.800000000000000000e+01,9.950245618820190430e-01,7.496573328971862793e-01
9.900000000000000000e+01,9.950888156890869141e-01,7.225685119628906250e-01
1.000000000000000000e+02,9.949530363082885742e-01,7.350812554359436035e-01
1.010000000000000000e+02,9.951860308647155762e-01,7.298699617385864258e-01
1.020000000000000000e+02,9.952691793441772461e-01,7.413045167922973633e-01
1.030000000000000000e+02,9.949389100074768066e-01,7.310078740119934082e-01
1.040000000000000000e+02,9.947841167449951172e-01,7.219818234443664551e-01
1.050000000000000000e+02,9.950105547904968262e-01,7.365546226501464844e-01
1.060000000000000000e+02,9.954764842987060547e-01,7.379312515258789062e-01
1.070000000000000000e+02,9.956948757171630859e-01,7.456469535827636719e-01
1.080000000000000000e+02,9.955726265907287598e-01,7.452194094657897949e-01
1.090000000000000000e+02,9.952740073204040527e-01,7.553285360336303711e-01
1.100000000000000000e+02,9.950787425041198730e-01,7.529263496398925781e-01
1.110000000000000000e+02,9.950265288352966309e-01,7.668014764785766602e-01
1.120000000000000000e+02,9.950467944145202637e-01,7.508333325386047363e-01
1.130000000000000000e+02,9.948331713676452637e-01,7.393566370010375977e-01
1.140000000000000000e+02,9.947652220726013184e-01,7.406890988349914551e-01
1.150000000000000000e+02,9.951974153518676758e-01,7.425349354743957520e-01
1.160000000000000000e+02,9.955427646636962891e-01,7.479835152626037598e-01
1.170000000000000000e+02,9.954863786697387695e-01,7.375223636627197266e-01
1.180000000000000000e+02,9.953720569610595703e-01,7.451589107513427734e-01
1.190000000000000000e+02,9.951294660568237305e-01,7.472782135009765625e-01
1.200000000000000000e+02,9.948499798774719238e-01,7.386118769645690918e-01
1.210000000000000000e+02,9.948056340217590332e-01,7.380352020263671875e-01
1.220000000000000000e+02,9.947835206985473633e-01,7.407476305961608887e-01
1.230000000000000000e+02,9.945580363273620605e-01,7.345578074455261230e-01
1.240000000000000000e+02,9.940307736396789551e-01,7.177844047546386719e-01
1.250000000000000000e+02,9.938067793846130371e-01,7.237656116485595703e-01
1.260000000000000000e+02,9.938451051712036133e-01,7.390226721763610840e-01
1.270000000000000000e+02,9.936545491218566895e-01,7.333033680915832520e-01
1.280000000000000000e+02,9.939854145050048828e-01,7.314138412475585938e-01
1.290000000000000000e+02,9.944619536399841309e-01,7.352436184883117676e-01
1.300000000000000000e+02,9.948479533195495605e-01,7.348885536193847656e-01
1.310000000000000000e+02,9.946131110191345215e-01,7.220495939254760742e-01
1.320000000000000000e+02,9.940030574798583984e-01,7.166379690170288086e-01
1.330000000000000000e+02,9.934142231941223145e-01,7.307504415512084961e-01
1.340000000000000000e+02,9.928729534149169922e-01,7.412910461425781250e-01
1.350000000000000000e+02,9.928326010704040527e-01,7.455948591232299805e-01
1.360000000000000000e+02,9.931283593177795410e-01,7.382205128669738770e-01
1.370000000000000000e+02,9.932940602302551270e-01,7.292167544364929199e-01
1.380000000000000000e+02,9.936125278472900391e-01,7.398173213005065918e-01
1.390000000000000000e+02,9.933301806449890137e-01,7.185114026069641113e-01
1.400000000000000000e+02,9.930485486984252930e-01,7.243424654006958008e-01
1.410000000000000000e+02,9.934096932411193848e-01,7.284217476844787598e-01
1.420000000000000000e+02,9.936790466308593750e-01,7.313409447669982910e-01
1.430000000000000000e+02,9.941282868385314941e-01,7.193450927734375000e-01
1.440000000000000000e+02,9.937317371368408203e-01,7.450003027915954590e-01
1.450000000000000000e+02,9.933164119720458984e-01,7.442026138305664062e-01
1.460000000000000000e+02,9.933507442474365234e-01,7.437176108360290527e-01
1.470000000000000000e+02,9.935467839241027832e-01,7.503954768180847168e-01
1.480000000000000000e+02,9.936591982841491699e-01,7.482708096504211426e-01
1.490000000000000000e+02,9.935777187347412109e-01,7.420334219932556152e-01
