step,coverage,mean_tau_bar
8.700000000000000000e+01,9.944133758544921875e-01,1.882370710372924805e-01
8.800000000000000000e+01,9.940153360366821289e-01,1.874662190675735474e-01
8.900000000000000000e+01,9.940954446792602539e-01,1.870367527008056641e-01
9.000000000000000000e+01,9.938673973083496094e-01,1.879968792200088501e-01
9.100000000000000000e+01,9.931920170783996582e-01,1.867059022188186646e-01
9.200000000000000000e+01,9.929873347282409668e-01,1.861122250556945801e-01
9.300000000000000000e+01,9.927551150321960449e-01,1.837142109870910645e-01
9.400000000000000000e+01,9.926676750183105469e-01,1.847861409187316895e-01
9.500000000000000000e+01,9.918525815010070801e-01,1.856652796268463135e-01
9.600000000000000000e+01,9.900497794151306152e-01,1.847848594188690186e-01
9.700000000000000000e+01,9.895023107528686523e-01,1.844972968101501465e-01
9.800000000000000000e+01,9.902143478393554688e-01,1.845391243696212769e-01
9.900000000000000000e+01,9.909682273864746094e-01,1.831212192773818970e-01
1.000000000000000000e+02,9.915652871131896973e-01,1.832563430070877075e-01
1.010000000000000000e+02,9.922306537628173828e-01,1.839399337768554688e-01
1.020000000000000000e+02,9.917974472045898438e-01,1.840578168630599976e-01
1.030000000000000000e+02,9.913464784622192383e-01,1.830439865589141846e-01
1.040000000000000000e+02,9.919314384460449219e-01,1.827704608440399170e-01
1.050000000000000000e+02,9.919828176498413086e-01,1.828987449407577515e-01
1.060000000000000000e+02,9.922887682914733887e-01,1.819249540567398071e-01
1.070000000000000000e+02,9.921621084213256836e-01,1.814557611942291260e-01
1.080000000000000000e+02,9.907879829406738281e-01,1.818640083074569702e-01
1.090000000000000000e+02,9.906401038169860840e-01,1.814500391483306885e-01
1.100000000000000000e+02,9.912922978401184082e-01,1.810573786497116089e-01
1.110000000000000000e+02,9.914730191230773926e-01,1.808630377054214478e-01
1.120000000000000000e+02,9.914528131484985352e-01,1.817798018455505371e-01
1.130000000000000000e+02,9.916290044784545898e-01,1.814392954111099243e-01
1.140000000000000000e+02,9.914276003837585449e-01,1.818018108606338501e-01
1.150000000000000000e+02,9.912602305412292480e-01,1.815162599086761475e-01
1.160000000000000000e+02,9.906443953514099121e-01,1.801576167345046997e-01
1.170000000000000000e+02,9.902119040489196777e-01,1.799229979515075684e-01
1.180000000000000000e+02,9.911441206932067871e-01,1.797699183225631714e-01
1.190000000000000000e+02,9.920334219932556152e-01,1.794266253709793091e-01
1.200000000000000000e+02,9.916649460792541504e-01,1.786319911479949951e-01
1.210000000000000000e+02,9.906750321388244629e-01,1.786744296550750732e-01
1.220000000000000000e+02,9.904703497886657715e-01,1.779763400554656982e-01
1.230000000000000000e+02,9.902182221412658691e-01,1.777051836252212524e-01
1.240000000000000000e+02,9.907505512237548828e-01,1.779725104570388794e-01
1.250000000000000000e+02,9.908375740051269531e-01,1.780988276004791260e-01
1.260000000000000000e+02,9.911133050918579102e-01,1.778445392847061157e-01
1.270000000000000000e+02,9.916344881057739258e-01,1.771903336048126221e-01
1.280000000000000000e+02,9.926536083221435547e-01,1.768548190593719482e-01
1.290000000000000000e+02,9.925083518028259277e-01,1.763625741004943848e-01
1.300000000000000000e+02,9.910212755203247070e-01,1.788840293884277344e-01
1.310000000000000000e+02,9.897276163101196289e-01,1.768806278705596924e-01
1.320000000000000000e+02,9.904547929763793945e-01,1.766664534807205200e-01
1.330000000000000000e+02,9.903978705406188965e-01,1.769119054079055786e-01
1.340000000000000000e+02,9.902597069740295410e-01,1.766881346702575684e-01
1.350000000000000000e+02,9.897549152374267578e-01,1.760912537574768066e-01
1.360000000000000000e+02,9.904230237007141113e-01,1.763401776552200317e-01
1.370000000000000000e+02,9.905569553375244141e-01,1.763209700584411621e-01
1.380000000000000000e+02,9.883347749710083008e-01,1.766646653413772583e-01
1.390000000000000000e+02,9.878724217414855957e-01,1.758811771869659424e-01
1.400000000000000000e+02,9.875814318656921387e-01,1.763055175542831421e-01
1.410000000000000000e+02,9.881394505500793457e-01,1.759683638811111450e-01
1.420000000000000000e+02,9.893211722373962402e-01,1.759023666381835938e-01
1.430000000000000000e+02,9.906987547874450684e-01,1.766927242279052734e-01
1.440000000000000000e+02,9.911509752273559570e-01,1.768186390399932861e-01
1.450000000000000000e+02,9.913018941879272461e-01,1.761588305234909058e-01
1.460000000000000000e+02,9.919079542160034180e-01,1.766571700572967529e-01
1.470000000000000000e+02,9.915083050727844238e-01,1.782389283180236816e-01
1.480000000000000000e+02,9.909909963607788086e-01,1.774808466434478760e-01
1.490000000000000000e+02,9.904729127883911133e-01,1.757095605134963989e-01
