step,coverage,mean_tau_bar
0.000000000000000000e+00,8.491917848587036133e-01,2.543039619922637939e-01
1.000000000000000000e+00,8.523153662681579590e-01,2.494856268167495728e-01
2.000000000000000000e+00,8.560825586318969727e-01,2.450437545776367188e-01
3.000000000000000000e+00,8.568102121353149414e-01,2.426925748586654663e-01
4.000000000000000000e+00,8.584508895874023438e-01,2.389168888330459595e-01
5.000000000000000000e+00,8.591576218605041504e-01,2.364528030157089233e-01
6.000000000000000000e+00,8.546302914619445801e-01,2.359856814146041870e-01
7.000000000000000000e+00,8.527742624282836914e-01,2.427019476890563965e-01
8.000000000000000000e+00,8.566867113113403320e-01,2.345119416713714600e-01
9.000000000000000000e+00,8.566499948501586914e-01,2.346784472465515137e-01
1.000000000000000000e+01,8.578827381134033203e-01,2.364666759967803955e-01
1.100000000000000000e+01,8.613962531089782715e-01,2.393058687448501587e-01
1.200000000000000000e+01,8.642526865005493164e-01,2.326798141002655029e-01
1.300000000000000000e+01,8.658714890480041504e-01,2.333912402391433716e-01
1.400000000000000000e+01,8.676981925964355469e-01,2.259813994169235229e-01
1.500000000000000000e+01,8.686084747314453125e-01,2.309557795524597168e-01
1.600000000000000000e+01,8.678789734840393066e-01,2.302592247724533081e-01
1.700000000000000000e+01,8.680660724639892578e-01,2.247239947319030762e-01
1.800000000000000000e+01,8.690796494483947754e-01,2.225312590599060059e-01
1.900000000000000000e+01,8.727273941040039062e-01,2.237078845500946045e-01
2.000000000000000000e+01,8.759411573410034180e-01,2.224795669317245483e-01
2.100000000000000000e+01,8.773835301399230957e-01,2.194035053253173828e-01
2.200000000000000000e+01,8.759332895278930664e-01,2.155038416385650635e-01
2.300000000000000000e+01,8.754732608795166016e-01,2.148884087800979614e-01
2.400000000000000000e+01,8.747830986976623535e-01,2.124314904212951660e-01
2.500000000000000000e+01,8.743044137954711914e-01,2.133178412914276123e-01
2.600000000000000000e+01,8.736609220504760742e-01,2.123011350631713867e-01
2.700000000000000000e+01,8.712328672409057617e-01,2.097470015287399292e-01
2.800000000000000000e+01,8.696958422660827637e-01,2.091834247112274170e-01
2.900000000000000000e+01,8.694676756858825684e-01,2.101208120584487915e-01
3.000000000000000000e+01,8.707187771797180176e-01,2.079594135284423828e-01
3.100000000000000000e+01,8.726034164428710938e-01,2.064806818962097168e-01
3.200000000000000000e+01,8.757996559143066406e-01,2.080514878034591675e-01
3.300000000000000000e+01,8.779004812240600586e-01,2.071820050477981567e-01
