target,rule,n,value_rel_median,value_rel_p95,grad_angle_median_deg,grad_angle_p95_deg,grad_mag_median,kendall_tau,top_decile_overlap,pass
centre,full,8,6.622660861969789,19.482239449924393,84.789194157965,162.66591857318858,38.977437490472866,0.17273622047244097,0.25,False
centre,full,16,7.143660374830109,20.547958741903273,76.49264000317243,141.91619228871576,40.01832378384853,0.28740157480314965,0.8333333333333334,False
centre,full,32,6.439669040321959,19.935228373112587,82.73705443754369,154.56468091185096,29.87759801539591,0.2898622047244095,0.75,False
centre,full,64,6.956408014946459,20.576430548085323,80.64194125393661,151.73864695565385,20.615341960622633,0.2893700787401575,0.8333333333333334,False
centre,full,128,6.905604644600331,20.410465755311506,77.45127458743035,143.57966499514487,20.071388293951806,0.2942913385826772,0.8333333333333334,False
centre,full,256,6.966448706373075,20.46736252251006,77.22303670369266,145.97328372899855,23.18745628932768,0.2950295275590552,0.8333333333333334,False
centre,full,512,6.96006915129567,20.472748440857504,77.95890068922989,146.34343422671353,20.95406250947314,0.2942913385826772,0.8333333333333334,False
centre,clip,8,0.09747025328575655,0.34532116942606567,35.69319373868843,158.971140137451,1.5075448324583811,0.7578740157480317,0.9166666666666666,False
centre,clip,16,0.023379487050009418,0.1160287517790255,19.62196339758981,142.17746615212468,1.1099995849255022,0.9173228346456694,1.0,False
centre,clip,32,0.004869439779831822,0.01913174034614191,6.585341686959961,45.602118498718156,1.0343595787348416,0.9817913385826773,1.0,False
centre,clip,64,0.0012784489127354202,0.005607085302318786,3.797418722624749,26.23011930800139,1.006208043499302,0.9948326771653545,1.0,False
centre,clip,128,0.00026875668977585,0.001260092610629208,1.7947373644641638,16.101531281531656,1.0041333439535527,0.9990157480314962,1.0,False
centre,clip,256,6.684698173571723e-05,0.0005623366879164391,1.0418689063335105,6.803588908991138,0.9979042260948277,0.9992618110236221,1.0,True
centre,clip,512,1.5090106298448298e-05,7.05682264255312e-05,0.5652097014352209,3.642731450648592,1.0015780733000477,0.9995078740157483,1.0,True
offcentre,full,8,0.6199720712664345,3.3981222995238687,81.74151144040792,147.58854812110616,4.884273906285072,0.04306102362204725,0.5,False
offcentre,full,16,0.6102282614529403,3.4801443126453138,64.69726710629678,136.08038034970707,3.969733548761937,0.4502952755905512,0.75,False
offcentre,full,32,0.618296963147601,3.4333623250500787,62.573377366291375,130.54216977243175,2.876428093382679,0.6525590551181104,0.75,False
offcentre,full,64,0.7005022375757877,3.8219589632492657,44.92072460598059,126.1908711867786,2.9447683848779906,0.6818405511811024,0.75,False
offcentre,full,128,0.7612430802249281,4.262972741051076,49.1077044828652,122.39473553171402,2.350853571525361,0.6621555118110237,0.75,False
offcentre,full,256,0.8086780454994251,4.226132191671669,47.27258923675972,118.30258753380086,2.4836810508463687,0.6604330708661419,0.8333333333333334,False
offcentre,full,512,0.7984208137568813,4.24488032119813,46.22889601455887,119.559233705549,2.4834469261214767,0.6594488188976378,0.75,False
offcentre,clip,8,0.068858831348562,0.8515552806376413,11.899838903760898,107.57009709206866,1.0342389924188033,0.8966535433070867,1.0,False
offcentre,clip,16,0.013836615051262411,0.41859182027827085,5.049833369741606,70.61777656945083,1.028901728817722,0.9579232283464568,0.9166666666666666,False
offcentre,clip,32,0.0035750752146524534,0.042037071625177315,2.5304707077264466,32.75119669888963,1.0028469239974291,0.9918799212598427,1.0,False
offcentre,clip,64,0.0007055839043967877,0.01220403314357419,0.8888755525140808,16.515637118402502,0.994838276530106,0.9985236220472443,1.0,False
offcentre,clip,128,0.00014965228166037445,0.0023893407751068053,0.5619348375160031,6.662000094411822,1.00036856558707,0.9995078740157483,1.0,True
offcentre,clip,256,3.1424482847528924e-05,0.0006474667703898028,0.24160787975385928,3.810949367700125,1.0010523858526486,0.9997539370078742,1.0,True
offcentre,clip,512,8.393597881251383e-06,0.00019640748817493868,0.16989914526241595,2.2128083384187582,1.0000139985812755,1.0,1.0,True
