phantom,method,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v3,greedy_bundle,40,384,360,3,40.68415,0.94906,0.17002,3.8787,0.47775,5.67549,2.03436,0.0
lof_flange_v3,greedy_bundle,80,384,360,3,44.07198,0.97255,0.11511,2.23983,0.47775,5.31816,2.00323,0.0
lof_flange_v3,greedy_composite,40,384,360,3,43.95906,0.95824,0.11661,2.2026,0.47775,5.07141,2.0548,0.0
lof_flange_v3,greedy_composite,80,384,360,3,48.23931,0.98249,0.07124,0.99438,0.47775,5.40516,2.03975,0.0
lof_flange_v3,vcls,40,384,360,3,45.2512,0.97687,0.10049,1.92918,0.47775,3.87069,2.03058,0.0
lof_flange_v3,vcls,80,384,360,3,48.41898,0.98675,0.06978,1.00552,0.47775,3.87069,1.95494,0.0
