phantom,method,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v4b,greedy_bundle,40,384,360,0,31.39385,0.85047,0.23914,10.26404,1.09046,8.72334,4.21457,0.0
lof_flange_v4b,greedy_bundle,80,384,360,0,33.49537,0.89587,0.18775,8.77367,1.09046,8.70011,4.2518,0.0
lof_flange_v4b,greedy_bundle_ocr,40,384,360,0,32.36145,0.85705,0.21393,9.70182,1.09046,8.75733,4.2459,0.0
lof_flange_v4b,greedy_bundle_ocr,80,384,360,0,34.07524,0.89827,0.17562,8.28823,1.09046,8.66934,4.23699,0.0
lof_flange_v4b,greedy_composite,40,384,360,0,32.97495,0.85955,0.19934,9.15181,1.09046,8.75134,4.30817,0.0
lof_flange_v4b,greedy_composite,80,384,360,0,37.87073,0.91631,0.11345,4.67573,1.09046,8.71569,4.30979,0.0
lof_flange_v4b,uniform_bundle,40,384,360,0,32.35663,0.85298,0.21405,9.54865,1.09046,8.71813,4.26231,0.0
lof_flange_v4b,uniform_bundle,80,384,360,0,33.15923,0.88973,0.19516,9.03243,1.09046,8.72607,4.25105,0.0
lof_flange_v4b,vcls,40,384,360,0,36.72795,0.92257,0.1294,4.37838,1.09046,8.67024,6.31642,0.0
lof_flange_v4b,vcls,80,384,360,0,37.74774,0.91649,0.11507,2.71653,1.09046,8.7512,6.20645,0.0
lof_flange_v4b,vcls_bundle,40,384,360,0,31.18859,0.84103,0.24486,10.47001,1.09046,8.72309,4.27232,0.0
lof_flange_v4b,vcls_bundle,80,384,360,0,33.35053,0.87627,0.19091,8.82949,1.09046,8.71616,4.29281,0.0
