view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
0,30.5409,-26.1893,-454.6497,770.5850,-440.0448
1,283.1477,-15.9819,933.4056,218.0288,-274.5259
2,333.8429,-25.5265,396.6362,807.5978,-429.6656
3,5.6507,20.2277,-92.1200,931.0298,344.7382
4,197.8745,-18.6059,290.0389,-899.3459,-318.1216
5,297.1247,25.0817,803.7292,411.7259,422.6678
6,49.0874,-21.0238,-703.3359,609.5186,-357.7047
7,16.8985,-24.2999,-264.1477,869.4946,-410.3073
8,162.9174,-21.2306,-273.0108,-888.3954,-361.0617
9,147.0031,-24.9377,-492.3716,-758.2764,-420.3976
10,82.7188,-7.9271,-979.5781,125.1594,-137.5096
11,25.8122,-29.1522,-379.1530,783.8887,-485.7041
12,153.7537,13.0273,-429.5860,-871.2568,224.7542
13,344.3034,-22.4445,249.3161,887.1749,-380.6696
14,123.1726,-18.0058,-793.7003,-518.8404,-308.2068
15,111.4806,23.5564,-850.4971,-334.6866,398.4804
16,329.7230,-18.0066,478.0816,818.8926,-308.2202
17,280.3632,-20.0063,921.6175,168.5367,-341.1211
18,143.8599,-24.8743,-533.4826,-730.5132,-419.3969
19,183.9474,15.9457,65.9977,-956.4302,273.9208
20,76.7230,-23.7755,-888.0616,209.5529,-401.9717
21,12.5350,18.1710,-205.6083,924.7642,310.9394
22,277.5936,-17.1312,944.4762,125.9124,-293.6966
23,255.7477,-15.3714,931.8109,-236.6893,-264.2985
24,201.9940,-22.4562,345.0962,-854.4022,-380.8577
25,245.6711,-12.9862,885.2890,-400.2603,-224.0580
26,11.3864,28.9133,-172.3101,855.6089,482.0681
27,337.4330,28.7916,335.3363,806.9027,480.2130
28,143.1880,-16.7674,-572.0350,-764.3201,-287.6416
29,224.2152,12.8106,678.0042,-696.8365,221.0792
30,311.9311,23.7520,678.9387,609.8431,401.5977
31,112.3626,10.2332,-907.4167,-373.3167,177.1344
32,310.1521,-21.7525,707.8289,597.1484,-369.5120
33,115.8794,-26.8977,-800.0285,-388.1167,-451.0731
34,331.9391,26.6613,419.1610,786.3102,447.4005
35,243.3407,20.1367,836.6038,-420.0229,343.2519
36,87.7704,-26.0861,-894.8240,34.8384,-438.4328
37,22.7238,28.7109,-337.8035,806.6049,478.9826
38,238.2215,25.8259,762.9421,-472.6488,434.3608
39,245.7802,-20.9294,849.3107,-382.0477,-356.1712
40,71.3447,-22.9014,-870.2194,293.7961,-388.0065
41,112.8150,19.6460,-865.5593,-364.1149,335.2231
42,154.3934,-23.4719,-395.2661,-824.7410,-397.1323
43,132.5613,-25.5057,-662.8232,-608.6713,-429.3388
44,162.4836,-26.6893,-268.1234,-849.5296,-447.8351
45,81.9076,8.0351,-977.4497,138.9791,139.3698
46,125.5331,-25.7671,-730.7169,-521.8519,-433.4404
47,352.6678,-24.6696,115.6336,898.6575,-416.1618
48,74.2729,16.5066,-920.1889,259.1225,283.2930
49,247.1779,-29.4277,800.4379,-336.8368,-489.8848
50,119.7209,28.8571,-758.3820,-432.9410,481.2129
51,211.6049,16.5052,500.9920,-814.1943,283.2694
52,203.6826,-6.9863,397.5192,-906.3209,-121.2759
53,188.5606,-19.6972,139.7354,-928.2689,-336.0622
54,336.5485,-28.2988,349.3834,805.3892,-472.6801
55,126.4911,27.7767,-709.2263,-524.6289,464.6607
56,169.0221,-21.4405,-176.7332,-911.0864,-364.4641
57,117.7981,15.4227,-850.2430,-448.2462,265.1588
58,251.8178,14.4825,917.1835,-301.2395,249.3516
59,282.5752,22.3558,900.0085,200.7667,379.2420
60,140.4593,27.4300,-563.3972,-682.4671,459.3139
61,344.7445,28.5805,230.3834,844.7191,476.9907
62,147.8884,26.9510,-472.4506,-752.8110,451.8994
63,203.3449,18.0523,375.6541,-870.3815,308.9772
64,38.6113,8.5723,-615.2532,770.4041,148.6201
65,168.7898,16.6153,-185.7461,-937.2087,285.1054
66,8.9730,-23.1094,-143.0338,905.8384,-391.3376
67,162.4673,28.8084,-263.1929,-833.0820,480.4694
68,266.2853,26.5749,889.8557,-57.7744,446.0559
69,43.6459,-27.5557,-610.1110,639.6523,-461.2553
70,55.4622,-25.7281,-739.9144,509.2482,-432.8280
71,205.6015,11.8371,421.6813,-880.0568,204.5286
72,216.1144,-19.5737,553.7116,-758.9265,-334.0375
73,108.5765,-24.6322,-859.1171,-288.7330,-415.5695
74,53.4055,9.7448,-788.9708,585.8249,168.7640
75,80.1972,26.9213,-876.0358,151.3620,451.4398
76,209.0844,11.8456,474.3518,-852.7870,204.6741
77,284.6762,-13.0038,939.8027,246.1348,-224.3560
78,317.0607,-11.8735,664.6946,714.3124,-205.1480
79,285.5406,-28.2249,846.3982,235.3733,-471.5469
80,57.9949,-16.6162,-810.2089,506.3741,-285.1208
81,183.7401,-12.5831,63.4782,-971.0479,-217.2174
82,29.2357,21.8834,-451.8831,807.3679,371.6258
83,62.6551,-14.4426,-857.6656,443.5260,-248.6796
84,119.0690,-19.9815,-819.0132,-455.2773,-340.7153
85,53.0386,24.3379,-725.8967,546.2364,410.9096
86,277.0026,28.1815,872.3166,107.1465,470.8826
87,219.8132,16.5680,611.9048,-734.0869,284.3169
88,153.3234,19.8724,-420.9827,-837.8824,338.9303
89,328.7915,-26.9185,460.6587,760.3829,-451.3961
90,137.0401,-25.3019,-614.3051,-659.6859,-426.1347
91,44.5893,15.9519,-673.0097,682.7267,274.0241
92,235.0363,-26.0058,734.3802,-513.5257,-437.1772
93,40.1391,25.4918,-580.1817,688.0347,429.1207
94,349.8496,-24.9705,159.2918,889.7211,-420.9149
95,47.0302,-26.0966,-655.1921,610.3302,-438.5970
96,29.0421,29.0227,-423.2490,762.2388,483.7348
97,131.0266,22.5393,-694.7394,-604.4938,382.1930
98,210.2259,-15.7557,483.0763,-829.1464,-270.7407
99,51.3225,13.3797,-757.2611,606.1920,230.7249
