phantom,method,regime,family,k,n_seeds,psnr_mean,psnr_std,ssim_mean,ssim_std,nrmse_mean,nrmse_std,hfen_mean,hfen_std,roi0_psnr_mean,roi0_psnr_std,roi0_ssim_mean,roi0_ssim_std,roi0_hfen_mean,roi0_hfen_std,roi1_psnr_mean,roi1_psnr_std,roi1_ssim_mean,roi1_ssim_std,roi1_hfen_mean,roi1_hfen_std,roi2_psnr_mean,roi2_psnr_std,roi2_ssim_mean,roi2_ssim_std,roi2_hfen_mean,roi2_hfen_std,roi3_psnr_mean,roi3_psnr_std,roi3_ssim_mean,roi3_ssim_std,roi3_hfen_mean,roi3_hfen_std,roi4_psnr_mean,roi4_psnr_std,roi4_ssim_mean,roi4_ssim_std,roi4_hfen_mean,roi4_hfen_std
lof_flange_v4b,greedy_adam_bundle_carm,limited-carm,ours,40,3,32.9888,0.563,0.8575,0.0016,0.1994,0.0129,9.0686,0.6557,20.8486,1.2701,0.4713,0.1515,1.758,0.3055,20.0798,1.6859,0.3589,0.1873,1.9246,0.4328,23.349,1.1094,0.4279,0.0243,0.6129,0.0263,24.9307,0.5322,0.4572,0.029,0.4867,0.0329,23.1516,1.2647,0.2758,0.0366,0.4344,0.091
lof_flange_v4b,vcls_carm_grid,limited-carm,discrete,40,3,39.1406,0.0834,0.9504,0.0015,0.098,0.0009,4.0713,0.044,33.4001,1.0597,0.9064,0.0108,0.3437,0.0485,32.288,0.4374,0.8942,0.0102,0.3809,0.0267,30.9329,0.4914,0.7355,0.016,0.2391,0.0329,30.4612,0.3259,0.63,0.0122,0.2354,0.0102,35.2185,0.1673,0.6787,0.0085,0.1328,0.0028
lof_flange_v4b,greedy_adam_bundle_carm,limited-carm,ours,80,3,39.3373,0.1077,0.9222,0.0038,0.0958,0.0012,3.8427,0.1877,26.5157,3.7978,0.7493,0.1205,0.8922,0.4148,27.2594,1.3175,0.8058,0.0259,0.7027,0.1119,30.2062,0.9338,0.6374,0.0224,0.2733,0.0616,28.3316,2.1758,0.5647,0.0776,0.3281,0.1065,33.9111,1.0631,0.5509,0.0419,0.1359,0.0127
lof_flange_v4b,vcls_carm_grid,limited-carm,discrete,80,3,43.2446,0.1063,0.9725,0.0001,0.0611,0.0007,2.0958,0.0708,38.4988,1.3573,0.9517,0.0062,0.1724,0.0267,36.5632,0.3072,0.9398,0.0016,0.2111,0.0154,35.0851,0.878,0.8384,0.0156,0.1157,0.0133,34.9427,0.1883,0.7835,0.0124,0.1179,0.0041,39.3633,0.1587,0.7989,0.0072,0.0683,0.0024
