phantom,method,regime,family,k,n_seeds,psnr_mean,psnr_std,ssim_mean,ssim_std,nrmse_mean,nrmse_std,hfen_mean,hfen_std,roi0_psnr_mean,roi0_psnr_std,roi0_ssim_mean,roi0_ssim_std,roi0_hfen_mean,roi0_hfen_std,roi1_psnr_mean,roi1_psnr_std,roi1_ssim_mean,roi1_ssim_std,roi1_hfen_mean,roi1_hfen_std,roi2_psnr_mean,roi2_psnr_std,roi2_ssim_mean,roi2_ssim_std,roi2_hfen_mean,roi2_hfen_std,roi3_psnr_mean,roi3_psnr_std,roi3_ssim_mean,roi3_ssim_std,roi3_hfen_mean,roi3_hfen_std,roi4_psnr_mean,roi4_psnr_std,roi4_ssim_mean,roi4_ssim_std,roi4_hfen_mean,roi4_hfen_std
lof_flange_v4a,greedy_adam_bundle_carm,limited-carm,ours,40,3,37.1657,0.9885,0.9009,0.004,0.2051,0.0226,5.8259,0.7495,20.2297,2.0936,0.3574,0.2061,1.9323,0.4831,22.4931,1.4266,0.6047,0.1078,1.3736,0.3274,27.6387,0.6325,0.5883,0.0266,0.3632,0.0208,25.2879,1.5843,0.4798,0.0482,0.4833,0.0877,30.9333,1.2524,0.474,0.0566,0.2159,0.0362
lof_flange_v4a,vcls_carm_grid,limited-carm,discrete,40,3,42.9511,0.0915,0.962,0.0005,0.1047,0.0011,2.5672,0.0276,33.5067,0.7237,0.9061,0.007,0.3319,0.0302,33.0856,0.2573,0.9061,0.004,0.3426,0.0151,30.4635,0.7828,0.7653,0.0337,0.2542,0.0428,30.4632,0.3759,0.6344,0.0053,0.2325,0.0102,35.7686,0.1247,0.753,0.006,0.1248,0.0027
lof_flange_v4a,greedy_adam_bundle_carm,limited-carm,ours,80,3,42.1171,0.3942,0.9509,0.0036,0.1154,0.0052,3.013,0.1389,26.5038,0.6164,0.7944,0.011,0.8405,0.0758,28.1163,2.1327,0.8328,0.0405,0.6551,0.15,31.5529,0.4619,0.7044,0.033,0.2087,0.0294,28.6983,0.0513,0.5666,0.0095,0.3109,0.0134,35.0284,0.8662,0.6148,0.0281,0.1448,0.0241
lof_flange_v4a,vcls_carm_grid,limited-carm,discrete,80,3,47.3743,0.0118,0.9841,0.0001,0.0629,0.0001,1.325,0.008,39.2023,0.6994,0.9557,0.0019,0.1506,0.0092,37.3844,0.1248,0.9456,0.0002,0.1791,0.0022,34.909,1.1844,0.8782,0.0221,0.1171,0.0191,35.1443,0.1876,0.7855,0.012,0.1126,0.0077,39.8188,0.1418,0.8703,0.0038,0.0641,0.0022
