phantom,method,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v3,greedy_bundle,40,384,360,3,40.68409,0.94906,0.17002,3.87869,0.47775,5.67549,2.03436,0.0
lof_flange_v3,greedy_bundle,80,384,360,3,44.07149,0.97254,0.11511,2.24017,0.47775,5.31816,2.00323,0.0
lof_flange_v3,greedy_composite,40,384,360,3,44.29845,0.96101,0.11215,2.08199,0.47775,5.07279,2.0552,0.0
lof_flange_v3,greedy_composite,80,384,360,3,48.22122,0.98289,0.07139,1.00373,0.47775,6.69929,2.05381,0.0
lof_flange_v3,vcls,40,384,360,3,45.2509,0.97687,0.1005,1.92934,0.47775,3.87069,2.03058,0.0
lof_flange_v3,vcls,80,384,360,3,48.4196,0.98676,0.06978,1.00527,0.47775,3.87069,1.95494,0.0
