phantom,method,scout_views,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v3,greedy_bundle_scout,8,40,384,360,3,37.87132,0.941,0.23504,5.8946,0.47775,5.07869,1.95868,0.0
lof_flange_v3,greedy_bundle_scout,8,80,384,360,3,38.71454,0.96203,0.21329,5.42616,0.47775,5.55471,1.94797,0.0
lof_flange_v3,greedy_bundle_scout,16,40,384,360,3,39.76217,0.94212,0.18906,4.49662,0.47775,5.07737,1.97922,0.0
lof_flange_v3,greedy_bundle_scout,16,80,384,360,3,41.23758,0.96648,0.15952,3.86891,0.47775,5.16523,1.9717,0.0
lof_flange_v3,greedy_bundle_scout,32,40,384,360,3,37.8265,0.94342,0.23625,5.87432,0.47775,5.0753,1.98565,0.0
lof_flange_v3,greedy_bundle_scout,32,80,384,360,3,40.75457,0.96486,0.16865,4.05163,0.47775,5.30842,1.99118,0.0
lof_flange_v3,greedy_bundle_scout,64,40,384,360,3,38.28721,0.93881,0.22405,5.53546,0.47775,5.32471,1.99,0.0
lof_flange_v3,greedy_bundle_scout,64,80,384,360,3,40.03675,0.96563,0.18317,4.50683,0.47775,5.08113,1.98525,0.0
lof_flange_v3,greedy_composite_scout,8,40,384,360,3,38.21644,0.94039,0.22588,5.61921,0.47775,5.6619,1.94917,0.0
lof_flange_v3,greedy_composite_scout,8,80,384,360,3,40.00881,0.96428,0.18377,4.50618,0.47775,5.48905,1.92333,0.0
lof_flange_v3,greedy_composite_scout,16,40,384,360,3,41.48847,0.9452,0.15498,3.3036,0.47775,5.42277,1.98894,0.0
lof_flange_v3,greedy_composite_scout,16,80,384,360,3,45.55358,0.97656,0.09706,1.63169,0.47775,5.7751,1.99015,0.0
lof_flange_v3,greedy_composite_scout,32,40,384,360,3,40.5984,0.94602,0.17171,3.92204,0.47775,5.07287,1.98918,0.0
lof_flange_v3,greedy_composite_scout,32,80,384,360,3,44.07216,0.97311,0.11511,2.2724,0.47775,6.7307,1.98406,0.0
lof_flange_v3,greedy_composite_scout,64,40,384,360,3,38.59169,0.93989,0.21633,5.28997,0.47775,5.27255,1.94855,0.0
lof_flange_v3,greedy_composite_scout,64,80,384,360,3,41.70742,0.96809,0.15112,3.44702,0.47775,6.69826,1.94453,0.0
lof_flange_v3,vcls_scout,8,40,384,360,3,45.18155,0.97644,0.1013,1.94563,0.47775,3.87069,2.03672,0.0
lof_flange_v3,vcls_scout,8,80,384,360,3,48.33041,0.98659,0.0705,1.03528,0.47775,3.87069,1.95153,0.0
lof_flange_v3,vcls_scout,16,40,384,360,3,45.21327,0.97663,0.10093,1.94323,0.47775,3.87069,2.03002,0.0
lof_flange_v3,vcls_scout,16,80,384,360,3,48.34517,0.9866,0.07038,1.03054,0.47775,3.87069,1.95179,0.0
lof_flange_v3,vcls_scout,32,40,384,360,3,45.27998,0.97716,0.10016,1.91437,0.47775,3.87069,2.01594,0.0
lof_flange_v3,vcls_scout,32,80,384,360,3,48.38898,0.98684,0.07003,1.01161,0.47775,3.87069,1.95321,0.0
lof_flange_v3,vcls_scout,64,40,384,360,3,45.33645,0.97704,0.09951,1.90155,0.47775,3.87069,2.02896,0.0
lof_flange_v3,vcls_scout,64,80,384,360,3,48.41672,0.98689,0.0698,1.00707,0.47775,3.87069,1.95467,0.0
