phantom,method,scout_views,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v4a,greedy_bundle_ocr_scout,8,40,384,360,2,35.83418,0.90878,0.23756,6.86392,0.83943,5.52755,2.72674,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,8,80,384,360,2,36.87576,0.94173,0.21072,6.27737,0.83943,5.54696,2.71131,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,16,40,384,360,2,35.97039,0.90582,0.23387,6.80356,0.83943,5.36007,2.70309,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,16,80,384,360,2,38.15068,0.94073,0.18195,5.34831,0.83943,5.56413,2.71915,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,32,40,384,360,2,35.94377,0.90911,0.23458,6.80493,0.83943,5.44291,2.71307,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,32,80,384,360,2,39.08375,0.94667,0.16342,4.85526,0.83943,5.68156,2.71072,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,64,40,384,360,2,36.03368,0.90847,0.23217,6.72232,0.83943,5.56377,2.73337,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,64,80,384,360,2,37.5536,0.94169,0.1949,5.84784,0.83943,5.68452,2.7263,0.0
lof_flange_v4a,greedy_bundle_scout,8,40,384,360,2,35.37149,0.90239,0.25056,7.09712,0.83943,5.37099,2.72023,0.0
lof_flange_v4a,greedy_bundle_scout,8,80,384,360,2,36.61445,0.93766,0.21715,6.47523,0.83943,5.40018,2.73356,0.0
lof_flange_v4a,greedy_bundle_scout,16,40,384,360,2,35.98161,0.90048,0.23356,6.68998,0.83943,5.4075,2.73424,0.0
lof_flange_v4a,greedy_bundle_scout,16,80,384,360,2,37.37161,0.93319,0.19902,5.92073,0.83943,5.46261,2.73185,0.0
lof_flange_v4a,greedy_bundle_scout,32,40,384,360,2,35.74546,0.90622,0.24,6.89733,0.83943,5.44077,2.72887,0.0
lof_flange_v4a,greedy_bundle_scout,32,80,384,360,2,37.69464,0.93162,0.19176,5.66858,0.83943,5.46556,2.73871,0.0
lof_flange_v4a,greedy_bundle_scout,64,40,384,360,2,35.50879,0.90377,0.24663,6.98277,0.83943,5.34585,2.71386,0.0
lof_flange_v4a,greedy_bundle_scout,64,80,384,360,2,37.26642,0.93554,0.20145,5.99719,0.83943,5.36301,2.73506,0.0
lof_flange_v4a,greedy_composite_scout,8,40,384,360,2,35.29295,0.89662,0.25284,7.15715,0.83943,5.38663,2.69218,0.0
lof_flange_v4a,greedy_composite_scout,8,80,384,360,2,37.32362,0.94177,0.20013,5.9599,0.83943,6.61964,2.72161,0.0
lof_flange_v4a,greedy_composite_scout,16,40,384,360,2,36.04508,0.90284,0.23186,6.67462,0.83943,5.38489,2.7102,0.0
lof_flange_v4a,greedy_composite_scout,16,80,384,360,2,38.24421,0.93963,0.18,5.34693,0.83943,5.41382,2.72613,0.0
lof_flange_v4a,greedy_composite_scout,32,40,384,360,2,37.10472,0.91062,0.20524,6.00757,0.83943,5.37818,2.70653,0.0
lof_flange_v4a,greedy_composite_scout,32,80,384,360,2,37.45884,0.93995,0.19704,5.87589,0.83943,5.36669,2.74862,0.0
lof_flange_v4a,greedy_composite_scout,64,40,384,360,2,35.45952,0.90071,0.24803,6.99761,0.83943,5.37694,2.71149,0.0
lof_flange_v4a,greedy_composite_scout,64,80,384,360,2,38.8107,0.94575,0.16864,5.02478,0.83943,5.39383,2.71671,0.0
lof_flange_v4a,vcls_bundle_scout,8,40,384,360,2,35.35529,0.89491,0.25103,7.11557,0.83943,5.34552,2.68452,0.0
lof_flange_v4a,vcls_bundle_scout,8,80,384,360,2,38.02485,0.93544,0.18461,5.578,0.83943,5.39901,2.71456,0.0
lof_flange_v4a,vcls_bundle_scout,16,40,384,360,2,35.71134,0.88918,0.24095,6.8471,0.83943,5.33521,2.69223,0.0
lof_flange_v4a,vcls_bundle_scout,16,80,384,360,2,37.4877,0.93278,0.19638,5.7983,0.83943,5.40334,2.72091,0.0
lof_flange_v4a,vcls_bundle_scout,32,40,384,360,2,36.58305,0.88639,0.21794,6.29353,0.83943,5.37784,2.68265,0.0
lof_flange_v4a,vcls_bundle_scout,32,80,384,360,2,38.8274,0.92926,0.16831,4.82734,0.83943,5.40204,2.70468,0.0
lof_flange_v4a,vcls_bundle_scout,64,40,384,360,2,36.65697,0.89135,0.21609,6.253,0.83943,5.42326,2.68431,0.0
lof_flange_v4a,vcls_bundle_scout,64,80,384,360,2,37.99768,0.92443,0.18518,5.50213,0.83943,5.43682,2.72084,0.0
lof_flange_v4a,vcls_scout,8,40,384,360,2,42.30773,0.95571,0.11275,2.64976,0.83943,3.88323,3.33184,0.0
lof_flange_v4a,vcls_scout,8,80,384,360,2,45.52675,0.96627,0.07783,1.40469,0.83943,6.55852,3.14297,0.0
lof_flange_v4a,vcls_scout,16,40,384,360,2,42.42953,0.95537,0.11118,2.60878,0.83943,3.88323,3.32931,0.0
lof_flange_v4a,vcls_scout,16,80,384,360,2,45.66282,0.96629,0.07662,1.35638,0.83943,6.18554,3.15332,0.0
lof_flange_v4a,vcls_scout,32,40,384,360,2,42.45636,0.95648,0.11083,2.598,0.83943,3.88323,3.33351,0.0
lof_flange_v4a,vcls_scout,32,80,384,360,2,45.73575,0.97374,0.07598,1.40076,0.83943,3.88323,3.13856,0.0
lof_flange_v4a,vcls_scout,64,40,384,360,2,42.38892,0.95637,0.1117,2.62852,0.83943,3.88323,3.33348,0.0
lof_flange_v4a,vcls_scout,64,80,384,360,2,45.75621,0.97362,0.0758,1.39052,0.83943,3.88323,3.13735,0.0
