view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
310,217.8365,-12.5634,596.9686,-768.5948,-216.8814
311,246.0187,-13.3008,886.5637,-394.3766,-229.3883
312,122.5255,-14.4281,-814.1669,-519.1914,-248.4343
313,198.1303,6.8547,308.0496,-940.7927,119.0024
314,126.3673,1.7237,-802.5088,-590.9544,29.9919
315,175.7890,-14.5341,-70.8712,-962.5557,-250.2215
316,337.5185,3.4009,380.5934,919.6722,59.1487
317,27.8964,9.9423,-459.4970,867.9709,172.1507
318,125.2599,-24.5849,-740.3428,-523.4144,-414.8217
319,4.2468,2.4463,-73.7683,993.4254,42.5576
320,37.9483,-10.3268,-603.2162,773.5181,-178.7366
321,358.3763,3.3924,28.2033,994.9224,59.0009
322,270.6052,5.2482,992.8340,10.4871,91.2016
323,174.2366,-17.1449,-95.6769,-947.9455,-293.9254
324,244.2996,2.7916,897.3670,-431.8811,48.5604
325,168.1869,-22.9960,-187.8982,-898.3953,-389.5217
326,106.6145,17.7820,-909.7962,-271.4727,304.5003
327,276.5285,-17.9315,942.4851,107.8582,-306.9779
328,296.9018,-21.5386,827.0789,419.6346,-366.0524
329,135.7305,-24.6164,-632.7348,-649.0787,-415.3199
330,254.6814,-0.1831,961.6399,-263.4112,-3.1855
331,21.6563,-17.2645,-351.3782,884.9379,-295.9142
332,272.1730,-23.9237,910.7519,34.5571,-404.3313
333,173.4987,-3.6983,-112.6592,-988.5943,-64.3141
334,258.9469,-16.6484,937.5529,-183.1433,-285.6574
335,112.8517,13.0322,-895.1471,-377.2354,224.8381
336,301.6413,17.6011,809.1149,498.5749,301.5015
337,61.6792,10.8041,-862.1663,464.6329,186.9025
338,44.2166,19.2202,-656.5717,674.7762,328.2344
339,3.5213,20.4306,-57.3881,932.5854,348.0488
340,357.9546,17.8313,33.8771,948.5675,305.3181
341,86.4366,-5.8559,-989.9485,61.6475,-101.7280
342,315.4155,3.7599,698.3965,708.6003,65.3840
343,87.0271,-1.3122,-995.4663,51.6980,-22.8324
344,169.2084,4.1270,-186.2051,-976.8960,71.7559
345,72.4309,9.6806,-937.0242,296.6851,167.6625
346,256.4817,12.3961,946.8448,-227.6378,214.0392
347,124.0951,14.5813,-799.0870,-540.9232,251.0162
