phantom,method,scout_views,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v4b,greedy_bundle_ocr_scout,8,40,384,360,2,32.44809,0.86265,0.21181,9.5517,1.09046,8.71849,4.22234,0.0
lof_flange_v4b,greedy_bundle_ocr_scout,8,80,384,360,2,34.27348,0.9004,0.17166,8.04275,1.09046,8.73505,4.22915,0.0
lof_flange_v4b,greedy_bundle_ocr_scout,16,40,384,360,2,32.68468,0.86235,0.20612,9.44916,1.09046,8.73262,4.28364,0.0
lof_flange_v4b,greedy_bundle_ocr_scout,16,80,384,360,2,34.71816,0.89816,0.16309,7.57567,1.09046,8.73245,4.27399,0.0
lof_flange_v4b,greedy_bundle_ocr_scout,32,40,384,360,2,31.90875,0.85482,0.22538,9.94815,1.09046,8.74927,4.28181,0.0
lof_flange_v4b,greedy_bundle_ocr_scout,32,80,384,360,2,35.25236,0.90198,0.15337,7.07178,1.09046,8.73154,4.26725,0.0
lof_flange_v4b,greedy_bundle_ocr_scout,64,40,384,360,2,31.67744,0.85638,0.23146,10.11924,1.09046,8.72816,4.25148,0.0
lof_flange_v4b,greedy_bundle_ocr_scout,64,80,384,360,2,34.07688,0.9008,0.17559,8.25362,1.09046,8.72994,4.27644,0.0
lof_flange_v4b,greedy_bundle_scout,8,40,384,360,2,31.8157,0.85497,0.2278,10.04154,1.09046,8.7441,4.22319,0.0
lof_flange_v4b,greedy_bundle_scout,8,80,384,360,2,33.17712,0.88749,0.19476,9.02637,1.09046,8.71119,4.23611,0.0
lof_flange_v4b,greedy_bundle_scout,16,40,384,360,2,31.84313,0.85827,0.22709,9.99219,1.09046,8.70643,4.24976,0.0
lof_flange_v4b,greedy_bundle_scout,16,80,384,360,2,33.30137,0.8857,0.19199,8.84581,1.09046,8.72734,4.27013,0.0
lof_flange_v4b,greedy_bundle_scout,32,40,384,360,2,31.22295,0.85256,0.24389,10.32237,1.09046,8.63766,4.22163,0.0
lof_flange_v4b,greedy_bundle_scout,32,80,384,360,2,33.4149,0.88913,0.1895,8.78974,1.09046,8.718,4.2544,0.0
lof_flange_v4b,greedy_bundle_scout,64,40,384,360,2,31.19588,0.8578,0.24465,10.39622,1.09046,8.71979,4.2402,0.0
lof_flange_v4b,greedy_bundle_scout,64,80,384,360,2,32.73543,0.88694,0.20492,9.33202,1.09046,8.71644,4.27697,0.0
lof_flange_v4b,greedy_composite_scout,8,40,384,360,2,32.70366,0.85836,0.20567,9.38117,1.09046,8.71753,4.25603,0.0
lof_flange_v4b,greedy_composite_scout,8,80,384,360,2,34.41675,0.90144,0.16885,7.87162,1.09046,8.71886,4.26393,0.0
lof_flange_v4b,greedy_composite_scout,16,40,384,360,2,31.84337,0.84821,0.22708,10.05092,1.09046,8.75076,4.31583,0.0
lof_flange_v4b,greedy_composite_scout,16,80,384,360,2,36.74434,0.9062,0.12916,5.34022,1.09046,8.63157,4.30742,0.0
lof_flange_v4b,greedy_composite_scout,32,40,384,360,2,31.69966,0.85054,0.23087,10.12826,1.09046,8.72456,4.29444,0.0
lof_flange_v4b,greedy_composite_scout,32,80,384,360,2,35.41213,0.90214,0.15057,6.773,1.09046,8.73029,4.30634,0.0
lof_flange_v4b,greedy_composite_scout,64,40,384,360,2,31.5055,0.85446,0.23609,10.21212,1.09046,8.73164,4.28829,0.0
lof_flange_v4b,greedy_composite_scout,64,80,384,360,2,33.82757,0.89669,0.1807,8.46724,1.09046,8.71799,4.32994,0.0
lof_flange_v4b,vcls_bundle_scout,8,40,384,360,2,31.91964,0.85131,0.22509,9.96835,1.09046,8.72139,4.21795,0.0
lof_flange_v4b,vcls_bundle_scout,8,80,384,360,2,32.70982,0.86721,0.20552,9.31878,1.09046,8.71903,4.27895,0.0
lof_flange_v4b,vcls_bundle_scout,16,40,384,360,2,31.61103,0.84831,0.23324,10.19302,1.09046,8.72638,4.29612,0.0
lof_flange_v4b,vcls_bundle_scout,16,80,384,360,2,33.39945,0.88487,0.18983,8.7571,1.09046,8.70784,4.31585,0.0
lof_flange_v4b,vcls_bundle_scout,32,40,384,360,2,30.99599,0.847,0.25035,10.60932,1.09046,8.7286,4.26461,0.0
lof_flange_v4b,vcls_bundle_scout,32,80,384,360,2,33.17722,0.87713,0.19475,9.02865,1.09046,8.71609,4.30056,0.0
lof_flange_v4b,vcls_bundle_scout,64,40,384,360,2,31.61886,0.8359,0.23303,10.15192,1.09046,8.72559,4.25667,0.0
lof_flange_v4b,vcls_bundle_scout,64,80,384,360,2,32.87894,0.86838,0.20156,9.246,1.09046,8.71571,4.34406,0.0
lof_flange_v4b,vcls_scout,8,40,384,360,2,36.73029,0.92624,0.12937,4.40097,1.09046,8.57605,6.31602,0.0
lof_flange_v4b,vcls_scout,8,80,384,360,2,37.68863,0.90446,0.11586,2.75238,1.09046,8.70913,6.14717,0.0
lof_flange_v4b,vcls_scout,16,40,384,360,2,36.75153,0.92671,0.12905,4.37597,1.09046,8.57605,6.3193,0.0
lof_flange_v4b,vcls_scout,16,80,384,360,2,37.69282,0.90124,0.1158,2.68839,1.09046,8.72435,6.20828,0.0
lof_flange_v4b,vcls_scout,32,40,384,360,2,36.77422,0.92667,0.12872,4.36656,1.09046,8.57915,6.31503,0.0
lof_flange_v4b,vcls_scout,32,80,384,360,2,37.69132,0.91566,0.11582,2.70487,1.09046,8.72435,6.21381,0.0
lof_flange_v4b,vcls_scout,64,40,384,360,2,36.74884,0.92671,0.12909,4.38138,1.09046,8.57605,6.31773,0.0
lof_flange_v4b,vcls_scout,64,80,384,360,2,37.68672,0.91547,0.11588,2.70765,1.09046,8.72435,6.21702,0.0
