phantom,method,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v4b,greedy_bundle,40,384,360,2,31.60891,0.85564,0.23329,10.14539,1.09046,8.71689,4.26233,0.0
lof_flange_v4b,greedy_bundle,80,384,360,2,32.9085,0.88764,0.20087,9.20622,1.09046,8.67422,4.27725,0.0
lof_flange_v4b,greedy_bundle_ocr,40,384,360,2,32.63723,0.86459,0.20725,9.40343,1.09046,8.67698,4.26951,0.0
lof_flange_v4b,greedy_bundle_ocr,80,384,360,2,35.20122,0.8995,0.15427,7.07466,1.09046,8.64058,4.26753,0.0
lof_flange_v4b,greedy_composite,40,384,360,2,33.19263,0.86451,0.19441,8.80621,1.09046,8.72392,4.25117,0.0
lof_flange_v4b,greedy_composite,80,384,360,2,36.17807,0.90769,0.13786,6.17212,1.09046,8.71325,4.32018,0.0
lof_flange_v4b,uniform_bundle,40,384,360,2,31.86336,0.85154,0.22656,10.00206,1.09046,8.72673,4.29133,0.0
lof_flange_v4b,uniform_bundle,80,384,360,2,33.1233,0.89412,0.19597,9.07798,1.09046,8.72046,4.24955,0.0
lof_flange_v4b,vcls,40,384,360,2,36.78132,0.92577,0.12861,4.36228,1.09046,8.59564,6.31319,0.0
lof_flange_v4b,vcls,80,384,360,2,37.6838,0.91495,0.11592,2.69713,1.09046,8.72436,6.21463,0.0
lof_flange_v4b,vcls_bundle,40,384,360,2,31.68196,0.84248,0.23134,10.03973,1.09046,8.74168,4.30682,0.0
lof_flange_v4b,vcls_bundle,80,384,360,2,32.94647,0.87546,0.2,9.09659,1.09046,8.70857,4.30626,0.0
