phantom,method,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v4a,greedy_bundle,40,384,360,0,36.13893,0.9055,0.22937,6.62872,0.83943,5.31628,2.71168,0.0
lof_flange_v4a,greedy_bundle,80,384,360,0,37.82784,0.93818,0.18884,5.58877,0.83943,5.6761,2.72267,0.0
lof_flange_v4a,greedy_bundle_ocr,40,384,360,0,38.07522,0.91444,0.18354,5.17172,0.83943,5.56222,2.71258,0.0
lof_flange_v4a,greedy_bundle_ocr,80,384,360,0,38.45537,0.94643,0.17568,5.21743,0.83943,5.58111,2.7272,0.0
lof_flange_v4a,greedy_composite,40,384,360,0,36.76782,0.90569,0.21335,6.15332,0.83943,5.55549,2.71832,0.0
lof_flange_v4a,greedy_composite,80,384,360,0,42.81974,0.9565,0.10629,2.44957,0.83943,6.80734,2.74013,0.0
lof_flange_v4a,uniform_bundle,40,384,360,0,35.76311,0.90332,0.23951,6.85441,0.83943,5.28743,2.69752,0.0
lof_flange_v4a,uniform_bundle,80,384,360,0,37.61236,0.93727,0.19358,5.78018,0.83943,5.4503,2.71816,0.0
lof_flange_v4a,vcls,40,384,360,0,42.40997,0.95567,0.11143,2.62591,0.83943,3.87821,3.32004,0.0
lof_flange_v4a,vcls,80,384,360,0,45.82303,0.97365,0.07522,1.41515,0.83943,3.87821,3.14024,0.0
lof_flange_v4a,vcls_bundle,40,384,360,0,36.2849,0.89015,0.22555,6.45487,0.83943,5.32372,2.69425,0.0
lof_flange_v4a,vcls_bundle,80,384,360,0,37.04712,0.92606,0.2066,6.12504,0.83943,5.40389,2.6887,0.0
