phantom,method,scout_views,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v4a,greedy_bundle_ocr_scout,8,40,384,360,0,35.95202,0.91187,0.23436,6.78739,0.83943,5.3619,2.73496,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,8,80,384,360,0,37.19403,0.93964,0.20314,6.0749,0.83943,5.39757,2.71874,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,16,40,384,360,0,36.22194,0.90758,0.22719,6.6213,0.83943,5.57436,2.72223,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,16,80,384,360,0,37.62552,0.9405,0.19329,5.81556,0.83943,5.56437,2.71723,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,32,40,384,360,0,38.09248,0.91514,0.18317,5.25748,0.83943,5.56347,2.70305,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,32,80,384,360,0,37.6871,0.94173,0.19193,5.73963,0.83943,5.5565,2.72212,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,64,40,384,360,0,36.17747,0.90826,0.22836,6.65913,0.83943,5.72747,2.72236,0.0
lof_flange_v4a,greedy_bundle_ocr_scout,64,80,384,360,0,38.87252,0.94561,0.16744,5.02407,0.83943,5.5434,2.70711,0.0
lof_flange_v4a,greedy_bundle_scout,8,40,384,360,0,35.29392,0.89716,0.25281,7.15217,0.83943,5.56908,2.70939,0.0
lof_flange_v4a,greedy_bundle_scout,8,80,384,360,0,36.21605,0.92937,0.22734,6.65785,0.83943,5.38843,2.73274,0.0
lof_flange_v4a,greedy_bundle_scout,16,40,384,360,0,35.88865,0.90385,0.23608,6.81497,0.83943,5.31031,2.71604,0.0
lof_flange_v4a,greedy_bundle_scout,16,80,384,360,0,36.89763,0.93288,0.21019,6.22873,0.83943,5.39123,2.73484,0.0
lof_flange_v4a,greedy_bundle_scout,32,40,384,360,0,36.9527,0.91149,0.20886,6.07924,0.83943,5.56971,2.71616,0.0
lof_flange_v4a,greedy_bundle_scout,32,80,384,360,0,36.76984,0.93189,0.2133,6.34939,0.83943,5.35664,2.7391,0.0
lof_flange_v4a,greedy_bundle_scout,64,40,384,360,0,35.40654,0.90025,0.24955,7.12562,0.83943,5.47141,2.69981,0.0
lof_flange_v4a,greedy_bundle_scout,64,80,384,360,0,38.31439,0.93836,0.17855,5.39867,0.83943,5.33078,2.73209,0.0
