trajectory,k,yaw_deg,shift_vox,ncc,ls_scale,psnr,ssim,nrmse,hfen
planned_bundle,100,89.5,"[48.0, -12.0, -24.0]",0.8939,1.7321,43.32768472801404,0.9437526734015145,0.5022342506195282,35.32215118408203
planned_all3,100,89.5,"[48.0, -8.0, -24.0]",0.9059,1.7789,43.74898519601094,0.9475828590571511,0.47845522683765523,34.33346939086914
planned_bundle,400,89.5,"[48.0, -12.0, -24.0]",0.9012,1.7164,43.28294885098499,0.9432328003009595,0.5048276347720692,37.708797454833984
planned_all3,400,89.5,"[48.0, -12.0, -24.0]",0.9156,1.6991,43.7963738291542,0.9508889363934284,0.4758519700976982,35.96439743041992
