phantom,method,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v3,greedy_bundle,40,384,360,0,42.23541,0.94859,0.14221,2.89666,0.47775,5.31818,2.01705,0.0
lof_flange_v3,greedy_bundle,80,384,360,0,43.09033,0.97226,0.12888,2.85785,0.47775,5.31867,2.02261,0.0
lof_flange_v3,greedy_composite,40,384,360,0,43.59566,0.96012,0.1216,2.41418,0.47775,5.55638,2.04654,0.0
lof_flange_v3,greedy_composite,80,384,360,0,49.28581,0.98621,0.06316,0.85204,0.47775,5.41214,2.07729,0.0
lof_flange_v3,vcls,40,384,360,0,45.19195,0.97607,0.10118,1.9352,0.47775,3.87821,2.03132,0.0
lof_flange_v3,vcls,80,384,360,0,48.35071,0.98648,0.07033,1.02907,0.47775,3.87821,1.95055,0.0
