phantom,method,regime,family,k,n_seeds,psnr_mean,psnr_std,ssim_mean,ssim_std,nrmse_mean,nrmse_std,hfen_mean,hfen_std,roi0_psnr_mean,roi0_psnr_std,roi0_ssim_mean,roi0_ssim_std,roi0_hfen_mean,roi0_hfen_std,roi1_psnr_mean,roi1_psnr_std,roi1_ssim_mean,roi1_ssim_std,roi1_hfen_mean,roi1_hfen_std,roi2_psnr_mean,roi2_psnr_std,roi2_ssim_mean,roi2_ssim_std,roi2_hfen_mean,roi2_hfen_std,roi3_psnr_mean,roi3_psnr_std,roi3_ssim_mean,roi3_ssim_std,roi3_hfen_mean,roi3_hfen_std,roi4_psnr_mean,roi4_psnr_std,roi4_ssim_mean,roi4_ssim_std,roi4_hfen_mean,roi4_hfen_std
lof_flange_v4a,greedy_adam_composite,free-sphere,ours,40,3,36.9992,0.3312,0.9088,0.0028,0.2079,0.0078,6.0379,0.2462,20.3854,1.1849,0.4174,0.1463,1.8721,0.2839,20.7053,1.0317,0.449,0.1122,1.7812,0.2424,28.4993,0.4048,0.6134,0.0095,0.3317,0.0227,24.731,0.7147,0.4367,0.0036,0.5053,0.0469,31.2475,0.6687,0.4466,0.0317,0.2078,0.0182
lof_flange_v4a,vcls,free-sphere,discrete,40,3,42.7991,0.049,0.96,0.0012,0.1065,0.0006,2.5881,0.0113,33.5078,1.2834,0.9005,0.0194,0.3099,0.0309,34.0779,0.6011,0.9111,0.0179,0.2936,0.0088,30.6748,0.3269,0.7637,0.0101,0.2573,0.0227,30.794,0.1669,0.6439,0.0061,0.2216,0.0066,35.7408,0.165,0.7589,0.0084,0.1269,0.0045
lof_flange_v4a,greedy_adam_circle,single-axis,ours,40,3,40.5401,0.0,0.9514,0.0,0.1382,0.0,3.4567,0.0,25.3587,0.0,0.7122,0.0,0.8168,0.0,25.1247,0.0,0.7043,0.0,0.8515,0.0,32.4521,0.0,0.789,0.0,0.1965,0.0,28.2503,0.0,0.5386,0.0,0.3029,0.0,36.8476,0.0,0.7756,0.0,0.1055,0.0
lof_flange_v4a,vcls_circle,single-axis,discrete,40,3,40.9164,0.3257,0.958,0.0037,0.1324,0.005,3.4301,0.0277,24.9984,0.3433,0.7006,0.009,0.8885,0.0671,24.6403,0.5313,0.6821,0.0179,0.9505,0.099,32.6492,1.0931,0.8223,0.0298,0.1693,0.022,28.3292,0.1066,0.5424,0.0106,0.2929,0.0081,37.3206,0.4346,0.8054,0.0107,0.0949,0.0068
lof_flange_v4a,greedy_adam_composite,free-sphere,ours,80,3,40.4728,0.3277,0.9532,0.0025,0.1394,0.0052,3.9993,0.3505,22.217,2.0808,0.5573,0.1506,1.514,0.4067,26.4917,2.9624,0.7685,0.0922,0.8666,0.4327,31.508,0.8225,0.6892,0.023,0.2279,0.0368,26.7575,0.7604,0.5274,0.0241,0.4012,0.0543,35.1174,1.2071,0.586,0.0333,0.1363,0.0327
lof_flange_v4a,vcls,free-sphere,discrete,80,3,47.1468,0.0461,0.9825,0.0003,0.0646,0.0003,1.3431,0.0258,37.1064,1.4524,0.938,0.0175,0.1632,0.0119,38.4503,1.1875,0.9446,0.0157,0.1437,0.0085,34.8178,0.2522,0.8787,0.0058,0.1102,0.0013,34.8527,0.4198,0.7814,0.0088,0.1065,0.0036,39.4846,0.1134,0.8671,0.003,0.0686,0.0024
lof_flange_v4a,greedy_adam_circle,single-axis,ours,80,3,43.6155,0.0,0.9748,0.0,0.097,0.0,2.3589,0.0,25.9978,0.0,0.7337,0.0,0.7242,0.0,26.0091,0.0,0.734,0.0,0.7241,0.0,35.954,0.0,0.8911,0.0,0.0865,0.0,30.3138,0.0,0.6193,0.0,0.2187,0.0,40.7836,0.0,0.8845,0.0,0.0523,0.0
lof_flange_v4a,vcls_circle,single-axis,discrete,80,3,43.8718,0.0639,0.9763,0.0004,0.0942,0.0007,2.273,0.0261,26.178,0.0477,0.741,0.0027,0.702,0.0036,26.1838,0.0243,0.7417,0.0015,0.7023,0.002,36.9189,0.4999,0.9047,0.0144,0.0735,0.0064,30.4911,0.0976,0.6269,0.0063,0.2121,0.0043,41.3481,0.1985,0.8993,0.0071,0.0442,0.0018
