phantom,method,regime,family,k,n_seeds,psnr_mean,psnr_std,ssim_mean,ssim_std,nrmse_mean,nrmse_std,hfen_mean,hfen_std,roi0_psnr_mean,roi0_psnr_std,roi0_ssim_mean,roi0_ssim_std,roi0_hfen_mean,roi0_hfen_std,roi1_psnr_mean,roi1_psnr_std,roi1_ssim_mean,roi1_ssim_std,roi1_hfen_mean,roi1_hfen_std,roi2_psnr_mean,roi2_psnr_std,roi2_ssim_mean,roi2_ssim_std,roi2_hfen_mean,roi2_hfen_std,roi3_psnr_mean,roi3_psnr_std,roi3_ssim_mean,roi3_ssim_std,roi3_hfen_mean,roi3_hfen_std,roi4_psnr_mean,roi4_psnr_std,roi4_ssim_mean,roi4_ssim_std,roi4_hfen_mean,roi4_hfen_std
lof_flange_v4a,greedy_adam_bundle_carm,limited-carm,ours,40,3,36.9146,0.0661,0.8997,0.002,0.2098,0.0016,5.9923,0.0502,19.6641,0.7469,0.3245,0.099,2.0248,0.1969,23.074,1.1605,0.6427,0.0671,1.2707,0.1904,27.6692,0.4203,0.5823,0.0153,0.3601,0.0139,24.6066,0.3403,0.4598,0.0267,0.5115,0.0364,30.9825,0.4966,0.4575,0.0269,0.2173,0.0183
lof_flange_v4a,greedy_adam_bundle_carm,limited-carm,ours,80,3,41.5488,0.6295,0.9492,0.0033,0.1234,0.009,3.2604,0.3543,25.6751,1.852,0.7521,0.0647,0.9239,0.2886,27.7149,1.295,0.8127,0.0276,0.6554,0.1496,32.0609,0.3824,0.7106,0.0202,0.202,0.0246,27.83,1.1455,0.5473,0.0484,0.3652,0.0615,33.6857,0.3999,0.5655,0.0156,0.1801,0.0115
