phantom,method,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v3,greedy_bundle,40,384,360,0,42.23593,0.94861,0.1422,2.89672,0.47775,5.31818,2.01705,0.0
lof_flange_v3,greedy_bundle,80,384,360,0,43.09042,0.97224,0.12888,2.85777,0.47775,5.31867,2.02261,0.0
lof_flange_v3,greedy_composite,40,384,360,0,44.48648,0.96269,0.10974,2.0624,0.47775,5.57032,2.06462,0.0
lof_flange_v3,greedy_composite,80,384,360,0,48.74007,0.98518,0.06725,0.90136,0.47775,5.32513,2.06338,0.0
lof_flange_v3,vcls,40,384,360,0,45.19171,0.97606,0.10119,1.93499,0.47775,3.87821,2.03132,0.0
lof_flange_v3,vcls,80,384,360,0,48.35057,0.98648,0.07034,1.02911,0.47775,3.87821,1.95055,0.0
