view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
0,345.5493,14.2118,241.0969,935.5745,244.6825
1,291.1730,17.5045,886.3281,343.3033,299.7702
2,106.2515,12.0651,-935.6839,-272.7538,208.3215
3,155.6554,28.8985,-359.6801,-794.9545,481.6374
4,98.4314,14.7319,-953.4620,-141.3296,253.4426
5,333.1308,-4.6896,448.9303,886.0695,-81.4823
6,30.6336,19.4880,-478.7419,808.4267,332.4897
7,280.9186,28.6046,859.1578,165.7366,477.1543
8,269.9663,29.4676,867.7111,-0.5097,490.2796
9,179.5539,25.0202,-7.0311,-903.0892,421.5180
10,4.7506,28.4133,-72.5973,873.5739,474.2312
11,93.3470,-14.9228,-961.3870,-56.2250,-256.6531
12,293.3792,26.4691,818.9216,354.0264,444.2180
13,225.7501,-27.2488,634.6744,-618.2711,-456.3182
14,127.6875,-14.2720,-764.3580,-590.4965,-245.6985
15,319.3134,-26.4193,581.8751,676.8134,-443.4432
16,115.7321,10.2803,-883.3964,-425.7605,177.8648
17,78.7899,11.3731,-958.4311,189.9494,196.5347
18,189.7152,14.7999,162.6042,-949.7594,254.5858
19,137.5777,11.0653,-659.8256,-722.0370,191.2840
20,146.7121,-10.0524,-538.6066,-820.3274,-173.9623
21,138.3316,-6.3359,-658.5397,-739.9496,-109.9860
22,48.9869,-18.3775,-713.6729,620.6733,-314.2173
23,153.5280,-23.8837,-406.2209,-815.7523,-403.5216
24,51.8392,8.4544,-775.1241,609.1050,146.5287
25,90.7780,12.3043,-973.6595,-13.2211,212.3891
26,353.3295,23.1831,106.4219,909.9630,392.3499
27,72.6274,10.1977,-936.1530,292.8818,176.4507
28,348.6227,-17.4625,187.5464,932.0291,-299.0739
29,67.8810,-18.5404,-875.3745,355.7908,-316.9058
30,309.2902,-28.1857,679.8846,556.2844,-470.7455
31,99.5896,2.4636,-981.8077,-165.8773,42.8396
32,270.4919,-29.7753,865.0339,7.4261,-494.9325
33,116.4350,27.2204,-793.5999,-394.5513,455.8787
34,37.6663,-4.4879,-607.1431,786.5064,-77.9858
35,81.1681,-16.5497,-944.0275,146.6812,-283.8899
36,198.9909,9.6187,319.7659,-929.1472,166.5297
37,357.6073,0.7851,41.6050,995.6804,13.6569
38,306.5780,-3.5729,798.7946,592.7617,-62.1094
39,138.9633,-20.3545,-613.4805,-704.8159,-346.6601
40,85.2338,10.3440,-977.0545,81.4647,178.9554
41,232.5055,-26.4751,707.8212,-543.0216,-444.3125
42,217.5352,-27.6606,537.8081,-699.9940,-462.6746
43,341.0110,-12.2821,316.8719,920.8367,-212.0113
44,64.2465,10.5387,-882.5063,425.7361,182.2861
45,6.2695,-29.8534,-94.3954,859.2208,-496.1109
46,170.1992,4.8949,-169.0332,-978.5156,85.0419
47,7.5329,5.1450,-130.1284,984.0607,89.3763
48,238.7017,-23.7822,779.2911,-473.7853,-401.9077
49,214.7236,24.6477,515.9819,-744.5168,415.6373
