phantom,method,scout_views,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v3,greedy_bundle_scout,8,40,384,360,1,37.89761,0.93978,0.23433,5.83488,0.47775,5.55829,1.95013,0.0
lof_flange_v3,greedy_bundle_scout,8,80,384,360,1,38.82257,0.96587,0.21066,5.3983,0.47775,5.30757,1.94121,0.0
lof_flange_v3,greedy_bundle_scout,16,40,384,360,1,40.18943,0.94644,0.17998,4.28891,0.47775,5.46626,1.97945,0.0
lof_flange_v3,greedy_bundle_scout,16,80,384,360,1,41.58729,0.96688,0.15323,3.50973,0.47775,5.67022,1.96628,0.0
lof_flange_v3,greedy_bundle_scout,32,40,384,360,1,39.00831,0.94012,0.2062,5.02109,0.47775,5.16456,1.97951,0.0
lof_flange_v3,greedy_bundle_scout,32,80,384,360,1,40.48665,0.96669,0.17393,4.31885,0.47775,5.30709,1.98319,0.0
lof_flange_v3,greedy_bundle_scout,64,40,384,360,1,38.40899,0.9421,0.22093,5.51248,0.47775,5.46741,1.98232,0.0
lof_flange_v3,greedy_bundle_scout,64,80,384,360,1,39.67956,0.9675,0.19086,4.79756,0.47775,5.08124,1.97647,0.0
lof_flange_v3,greedy_composite_scout,8,40,384,360,1,38.30765,0.94053,0.22352,5.53452,0.47775,5.55466,1.98367,0.0
lof_flange_v3,greedy_composite_scout,8,80,384,360,1,40.6714,0.96896,0.17027,4.08118,0.47775,5.58701,1.93276,0.0
lof_flange_v3,greedy_composite_scout,16,40,384,360,1,42.0722,0.94685,0.14491,2.92217,0.47775,5.55643,1.97848,0.0
lof_flange_v3,greedy_composite_scout,16,80,384,360,1,44.73192,0.97676,0.10669,2.05759,0.47775,6.79122,1.98299,0.0
lof_flange_v3,greedy_composite_scout,32,40,384,360,1,40.71975,0.94364,0.16932,3.76098,0.47775,5.49189,1.97924,0.0
lof_flange_v3,greedy_composite_scout,32,80,384,360,1,43.52709,0.97362,0.12256,2.53729,0.47775,5.5888,1.9801,0.0
lof_flange_v3,greedy_composite_scout,64,40,384,360,1,39.00122,0.94699,0.20637,5.06999,0.47775,6.74959,1.96671,0.0
lof_flange_v3,greedy_composite_scout,64,80,384,360,1,41.38655,0.97173,0.15681,3.65577,0.47775,5.4068,1.94583,0.0
lof_flange_v3,vcls_scout,8,40,384,360,1,45.05684,0.97586,0.10277,1.95658,0.47775,3.86316,2.03574,0.0
lof_flange_v3,vcls_scout,8,80,384,360,1,48.15728,0.98561,0.07192,1.05052,0.47775,3.86316,1.95613,0.0
lof_flange_v3,vcls_scout,16,40,384,360,1,45.01279,0.97588,0.10329,1.97034,0.47775,3.86316,2.03258,0.0
lof_flange_v3,vcls_scout,16,80,384,360,1,48.14731,0.98627,0.072,1.04966,0.47775,3.86316,1.95369,0.0
lof_flange_v3,vcls_scout,32,40,384,360,1,45.16673,0.9765,0.10148,1.91428,0.47775,3.86316,2.02107,0.0
lof_flange_v3,vcls_scout,32,80,384,360,1,48.19405,0.98644,0.07161,1.04118,0.47775,3.86316,1.95831,0.0
lof_flange_v3,vcls_scout,64,40,384,360,1,45.14443,0.9755,0.10174,1.91691,0.47775,3.86316,2.03193,0.0
lof_flange_v3,vcls_scout,64,80,384,360,1,48.20104,0.98635,0.07156,1.04104,0.47775,3.86316,1.95886,0.0
