view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
122,286.5226,19.5853,900.5929,267.1544,334.2274
123,177.5920,-14.9066,-40.4830,-962.6636,-256.4898
124,0.3769,27.6008,-5.8124,883.5806,461.9509
125,236.5361,-9.8031,819.6436,-541.7675,-169.7630
126,143.8646,-4.8647,-585.8493,-802.3577,-84.5552
127,246.5474,19.9599,859.7562,-372.9877,340.3622
128,62.2025,-14.3400,-854.5279,450.4943,-246.9495
129,31.5517,-28.1166,-460.1649,749.4010,-469.8866
130,342.1372,16.8016,292.7834,908.4929,288.2112
131,45.2199,-3.5804,-706.3539,700.9522,-62.2663
132,334.6442,-11.4828,418.4365,882.9832,-198.4910
133,123.1764,-17.4193,-796.2647,-520.5923,-298.4848
134,53.9371,10.3542,-792.8766,577.3895,179.2063
135,182.6849,-24.9585,42.3444,-902.9645,-420.7244
136,226.9660,-18.7458,690.1462,-644.3373,-320.4288
137,253.8528,-8.0596,948.2755,-274.5515,-139.7931
138,233.5679,16.9716,767.2665,-566.3425,291.0417
139,76.8034,5.8562,-965.6728,226.4366,101.7326
140,133.3333,7.2925,-719.3754,-678.6959,126.5623
141,75.3078,17.9072,-917.7441,240.6329,306.5755
142,142.1799,26.8158,-545.6388,-702.9248,449.8023
143,136.8687,-21.7815,-633.0017,-675.7001,-369.9803
144,37.0833,12.3001,-587.4082,777.1625,212.4078
145,250.0197,-13.7200,910.3185,-330.9739,-236.4817
146,340.3848,-7.0821,332.1643,932.0417,-122.9309
147,330.4427,11.9346,481.2160,848.5659,206.1894
148,50.4728,-27.8489,-679.9907,561.0844,-465.7724
149,40.0771,20.8223,-600.0049,713.1069,354.4288
150,194.2990,20.4475,230.7420,-905.3034,348.3258
151,201.5531,20.7295,342.5738,-867.3165,352.9197
152,156.8182,-20.4712,-367.7091,-858.6832,-348.7122
153,159.7075,-6.3685,-343.6626,-929.4145,-110.5973
154,120.5623,12.7532,-837.3727,-494.4771,220.1055
155,99.6877,22.3170,-909.2322,-155.2165,378.6182
156,259.3491,-15.3492,944.9389,-177.7102,-263.9254
157,91.0967,15.2433,-961.8142,-18.4122,262.1478
158,146.8102,-14.6143,-528.1508,-807.4127,-251.5721
159,119.4244,20.9560,-811.0086,-457.4347,356.6027
160,319.6171,-23.0554,594.3967,698.8353,-390.4727
161,176.1811,-14.4270,-64.3140,-963.4835,-248.4158
162,129.9542,8.3386,-756.2317,-633.5236,144.5980
163,130.5174,-8.4967,-749.6615,-640.6650,-147.3195
164,323.4293,9.7601,585.4697,789.1782,169.0264
165,232.3504,24.4230,718.8001,-554.5423,412.2574
166,86.0124,-7.2748,-986.6488,68.7781,-126.2566
167,106.0096,16.6203,-918.3575,-263.5017,285.1900
168,325.0748,-15.3143,550.5588,788.4697,-263.3393
169,118.8353,21.8160,-810.8879,-446.4409,370.5378
170,124.5190,25.1953,-743.3658,-511.2635,424.4571
171,281.7638,-24.4372,888.6808,185.0696,-412.4835
172,294.3121,-25.1422,822.5564,371.6083,-423.6215
173,108.2300,14.3899,-917.3138,-302.1297,247.7906
174,210.6023,3.1715,506.8069,-856.8843,55.1635
175,100.1191,-17.3141,-937.0827,-167.2426,-296.7370
176,151.9905,-8.0248,-463.6562,-871.6624,-139.1932
177,171.0831,-8.7633,-152.7436,-973.5198,-151.9070
178,126.9712,11.4800,-780.6601,-587.6544,198.4418
179,147.4081,-17.9793,-510.8464,-799.0377,-307.7688
180,1.2469,-17.4599,-20.6971,950.9061,-299.1594
181,237.9438,-12.7707,824.1401,-516.1036,-220.4022
182,82.1295,3.6641,-985.6580,136.2536,63.7195
183,71.0290,12.1758,-921.7011,316.8450,210.2931
184,256.3113,21.2552,902.8487,-219.9028,361.4609
185,135.1931,-13.3616,-683.6342,-688.2575,-230.4190
186,103.2616,-19.2275,-916.3452,-215.9672,-328.3545
187,0.9750,17.4369,-16.1867,951.1135,298.7778
188,64.1420,-0.1337,-897.2376,434.8635,-2.3261
189,193.6603,-6.8299,233.8024,-961.9894,-118.5743
190,38.9657,-26.3370,-561.9277,694.7736,-442.3504
191,339.0792,-23.6330,326.1715,853.2278,-399.7015
192,358.0417,-20.3202,31.9513,934.4718,-346.2493
193,141.8944,-16.4783,-590.0327,-752.3438,-282.8204
194,48.6481,-21.3110,-697.2872,613.7009,-362.3657
195,105.2547,-26.0284,-864.3751,-235.7326,-437.5304
196,173.6648,-13.1089,-107.1552,-965.1562,-226.1376
197,6.7732,20.6099,-110.0674,926.7420,350.9722
198,170.6985,-14.6218,-155.9361,-952.0920,-251.6977
199,276.5280,-4.3334,987.7726,113.0323,-75.3392
