phantom,method,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v3,greedy_bundle,40,384,360,2,39.77232,0.94837,0.18884,4.56785,0.47775,4.92583,1.98822,0.0
lof_flange_v3,greedy_bundle,80,384,360,2,44.44142,0.97347,0.11031,2.16273,0.47775,5.45256,1.9906,0.0
lof_flange_v3,greedy_composite,40,384,360,2,43.19154,0.96141,0.12739,2.69694,0.47775,5.00105,2.05633,0.0
lof_flange_v3,greedy_composite,80,384,360,2,49.03411,0.98551,0.06501,0.88091,0.47775,5.03033,2.05775,0.0
lof_flange_v3,vcls,40,384,360,2,45.03047,0.97577,0.10308,1.95044,0.47775,3.88323,2.0428,0.0
lof_flange_v3,vcls,80,384,360,2,48.13362,0.98138,0.07211,0.9893,0.47775,4.91375,1.97008,0.0
