view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
256,189.2121,21.9118,148.0261,-912.7195,371.9253
257,297.4739,-26.7984,789.2737,410.4133,-449.3384
258,122.6016,3.6190,-837.9346,-535.9150,62.9097
259,282.1828,24.8011,884.3470,190.9246,418.0613
260,236.0275,-19.7147,778.0743,-524.2748,-336.2041
261,266.4633,27.9745,878.5150,-54.2967,467.5043
262,294.2241,26.6521,812.3137,365.4793,447.0662
263,177.9432,-12.6930,-34.8958,-971.6599,-218.9895
264,148.1836,-26.5109,-470.1805,-757.8383,-444.8688
265,352.5989,-26.2058,115.1862,886.7515,-440.1145
266,323.0298,-0.3670,599.3677,796.2502,-6.3830
267,98.0148,-10.0892,-971.6465,-136.8116,-174.5925
268,86.2424,18.5654,-942.7473,61.9162,317.3181
269,173.3204,-14.3869,-112.2905,-958.8350,-247.6350
270,291.8673,26.0075,831.2712,333.6182,437.0172
271,223.0984,17.8092,648.3280,-692.8575,304.8218
272,102.2036,-21.2996,-907.5829,-196.2858,-362.0249
273,141.3038,13.8528,-604.9684,-755.2277,238.6236
274,17.5189,25.8148,-270.0704,855.5708,434.0019
275,51.1556,9.2577,-766.1265,616.9602,160.3344
276,300.3609,20.1157,807.5042,473.0194,342.7630
277,333.9607,0.5434,437.4949,895.4361,9.4518
278,48.5113,-13.4832,-725.9951,642.0506,-232.3769
279,330.0895,-1.4730,496.8080,863.6100,-25.6195
280,321.9629,10.0974,604.5911,772.8094,174.7342
281,19.8200,-13.5180,-328.5660,911.6293,-232.9667
282,71.3823,13.4587,-918.5507,309.4432,231.9622
283,183.9665,-16.5602,66.0809,-953.0145,-284.0661
284,39.3154,-16.2803,-606.1414,740.1541,-279.3952
285,321.8668,-27.9308,543.7305,692.6195,-466.8320
286,148.8470,-8.4181,-510.0335,-843.7268,-145.9032
287,140.6086,-10.6168,-621.6574,-757.0486,-183.6204
288,267.9487,25.2330,900.9672,-32.2701,424.8691
289,187.6565,4.8861,132.3039,-984.1679,84.8889
290,151.4834,8.3425,-470.7765,-866.4620,144.6034
291,150.8357,-24.6639,-441.3724,-790.8983,-415.8933
292,281.3107,22.6047,902.2095,180.4542,383.0811
293,63.8879,-15.7547,-861.3008,422.1721,-270.6079
294,67.7587,-3.6172,-920.6526,376.4861,-62.8790
295,17.5672,-20.1991,-282.3106,891.7264,-344.1244
296,128.8864,21.6933,-720.8347,-581.3588,368.3969
297,337.5186,13.6084,370.4008,895.0487,234.4953
298,84.7100,-12.8174,-967.6692,89.5982,-221.1005
299,39.4114,-10.5579,-622.0406,756.9771,-182.6142
