phantom,method,regime,family,k,n_seeds,psnr_mean,psnr_std,ssim_mean,ssim_std,nrmse_mean,nrmse_std,hfen_mean,hfen_std,roi0_psnr_mean,roi0_psnr_std,roi0_ssim_mean,roi0_ssim_std,roi0_hfen_mean,roi0_hfen_std,roi1_psnr_mean,roi1_psnr_std,roi1_ssim_mean,roi1_ssim_std,roi1_hfen_mean,roi1_hfen_std,roi2_psnr_mean,roi2_psnr_std,roi2_ssim_mean,roi2_ssim_std,roi2_hfen_mean,roi2_hfen_std,roi3_psnr_mean,roi3_psnr_std,roi3_ssim_mean,roi3_ssim_std,roi3_hfen_mean,roi3_hfen_std,roi4_psnr_mean,roi4_psnr_std,roi4_ssim_mean,roi4_ssim_std,roi4_hfen_mean,roi4_hfen_std
lof_flange_v4b,greedy_adam_bundle_carm,limited-carm,ours,40,3,33.1215,0.7774,0.8427,0.0068,0.1968,0.0172,8.7982,0.8367,20.3426,0.7205,0.4321,0.0942,1.8686,0.1663,20.7842,1.4131,0.4586,0.1771,1.7734,0.3166,24.7483,1.344,0.4566,0.0323,0.5534,0.0653,24.5406,0.6066,0.4205,0.0392,0.5094,0.0484,26.7571,1.0899,0.2954,0.0009,0.3546,0.0331
lof_flange_v4b,greedy_adam_bundle_carm,limited-carm,ours,80,3,37.8874,0.6685,0.8972,0.0053,0.1136,0.0086,4.7222,0.4933,26.0159,1.9602,0.7746,0.0528,0.8688,0.2127,24.9532,1.8466,0.742,0.0725,1.0085,0.3125,29.8644,0.788,0.6302,0.0094,0.2878,0.0455,28.2597,1.5471,0.5745,0.0646,0.3324,0.085,32.8874,0.306,0.4894,0.0041,0.167,0.0063
