phantom,method,k,resolution,kmax,seed,psnr,ssim,nrmse,hfen,li_mean,li_max,li_p95,photon_starved_frac
lof_flange_v4a,greedy_bundle,40,384,360,1,36.08467,0.90849,0.23081,6.68187,0.83943,5.43261,2.70203,0.0
lof_flange_v4a,greedy_bundle,80,384,360,1,37.77216,0.94142,0.19006,5.74458,0.83943,5.56622,2.71631,0.0
lof_flange_v4a,greedy_bundle_ocr,40,384,360,1,37.76523,0.91123,0.19021,5.45198,0.83943,5.56458,2.73346,0.0
lof_flange_v4a,greedy_bundle_ocr,80,384,360,1,39.71652,0.95263,0.15194,4.36154,0.83943,5.62193,2.72031,0.0
lof_flange_v4a,greedy_composite,40,384,360,1,38.22705,0.91535,0.18036,5.11874,0.83943,5.59203,2.73445,0.0
lof_flange_v4a,greedy_composite,80,384,360,1,42.98652,0.95884,0.10427,2.4666,0.83943,5.69766,2.79679,0.0
lof_flange_v4a,uniform_bundle,40,384,360,1,36.16218,0.91053,0.22876,6.65197,0.83943,5.56692,2.71226,0.0
lof_flange_v4a,uniform_bundle,80,384,360,1,38.4615,0.94412,0.17555,5.1866,0.83943,5.58104,2.71642,0.0
lof_flange_v4a,vcls,40,384,360,1,42.37073,0.95385,0.11193,2.60397,0.83943,3.86316,3.30967,0.0
lof_flange_v4a,vcls,80,384,360,1,45.73997,0.97439,0.07594,1.43745,0.83943,3.86316,3.14627,0.0
lof_flange_v4a,vcls_bundle,40,384,360,1,36.00317,0.8911,0.23299,6.70617,0.83943,5.36054,2.69593,0.0
lof_flange_v4a,vcls_bundle,80,384,360,1,37.80533,0.92468,0.18933,5.59377,0.83943,5.40263,2.68717,0.0
