phantom,method,regime,family,k,n_seeds,psnr_mean,psnr_std,ssim_mean,ssim_std,nrmse_mean,nrmse_std,hfen_mean,hfen_std,roi0_psnr_mean,roi0_psnr_std,roi0_ssim_mean,roi0_ssim_std,roi0_hfen_mean,roi0_hfen_std,roi1_psnr_mean,roi1_psnr_std,roi1_ssim_mean,roi1_ssim_std,roi1_hfen_mean,roi1_hfen_std,roi2_psnr_mean,roi2_psnr_std,roi2_ssim_mean,roi2_ssim_std,roi2_hfen_mean,roi2_hfen_std,roi3_psnr_mean,roi3_psnr_std,roi3_ssim_mean,roi3_ssim_std,roi3_hfen_mean,roi3_hfen_std,roi4_psnr_mean,roi4_psnr_std,roi4_ssim_mean,roi4_ssim_std,roi4_hfen_mean,roi4_hfen_std
lof_flange_v4a,greedy_adam_bundle_carm,limited-carm,ours,40,3,37.5143,0.2907,0.8911,0.0032,0.1959,0.0065,5.1883,0.2395,25.348,0.9015,0.7425,0.0297,0.9271,0.1047,23.9891,1.709,0.6803,0.0934,1.1086,0.3107,28.4519,0.3996,0.6308,0.025,0.3539,0.0203,26.0259,1.0202,0.4741,0.0599,0.4244,0.0547,30.8128,0.4813,0.4333,0.0183,0.226,0.0045
lof_flange_v4a,greedy_adam_bundle_carm,limited-carm,ours,80,3,40.0321,0.1795,0.9314,0.0046,0.1465,0.003,3.9595,0.0824,24.6646,0.8208,0.7384,0.0298,0.9961,0.1606,25.583,0.6193,0.7585,0.0133,0.8666,0.0909,31.744,0.5975,0.7096,0.02,0.2216,0.0255,26.6429,1.3214,0.5089,0.0761,0.4171,0.09,33.5608,0.9977,0.5321,0.0344,0.175,0.0232
