view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
116,279.6927,-18.0452,934.0897,159.5443,-308.7255
117,250.6237,35.0000,770.1582,-270.8569,571.6486
118,100.9073,-7.3176,-970.6635,-187.0491,-126.9420
119,329.8431,35.0000,410.1346,705.9014,571.6486
120,107.2993,-29.2655,-830.1030,-258.5370,-487.2135
121,183.6302,35.0000,51.6921,-814.7607,571.6486
122,328.3828,5.1603,520.3621,845.2675,89.6402
123,180.9125,-35.0000,13.0016,-816.2953,-571.6486
124,347.9507,29.5079,181.0655,848.2533,490.8878
125,207.7387,-16.0891,445.7063,-847.5544,-276.2004
126,132.8718,28.8298,-639.8838,-594.0303,480.5891
127,255.9447,29.3628,842.5986,-210.9474,488.6901
128,53.5718,-2.5119,-801.1267,591.2507,-43.6799
129,34.0214,-35.0000,-456.7773,676.6547,-571.6486
130,335.0216,35.0000,344.7458,740.0388,571.6486
131,54.8074,14.7478,-787.6401,555.4672,253.7090
132,353.0308,-20.5690,113.2190,926.2089,-350.1537
133,125.7599,-32.7977,-679.8220,-489.5800,-539.8544
134,55.6926,-6.1908,-818.4479,558.4629,-107.4780
135,158.9079,-35.0000,-293.7954,-761.7029,-571.6486
136,182.0931,-27.2010,32.3746,-885.8278,-455.5768
137,257.0998,-35.0000,795.7933,-182.2640,-571.6486
138,212.3981,35.0000,437.4259,-689.3226,571.6486
139,86.4490,17.5710,-948.3149,58.8489,300.8735
140,92.1804,3.1594,-994.4037,-37.8608,54.9289
141,47.3468,35.0000,-600.4355,553.1584,571.6486
142,121.7972,35.0000,-693.8723,-430.1724,571.6486
143,144.6454,-12.2147,-563.6355,-794.4434,-210.8649
144,31.9390,0.5570,-527.2133,845.7195,9.6893
145,244.3307,-35.0000,735.8281,-353.6442,-571.6486
146,336.1508,-22.7448,371.6349,840.6541,-385.3277
147,301.6527,-14.8953,819.8755,505.4305,-256.1904
148,32.1254,-22.3465,-490.1856,780.6538,-378.9287
149,27.4913,21.9198,-426.8035,820.1853,372.0540
150,186.6504,27.1811,102.6751,-880.6120,455.2686
151,193.5724,8.3732,231.3916,-958.4802,145.1306
152,141.3263,-35.0000,-510.1549,-637.3767,-571.6486
153,174.2935,26.1953,-88.9210,-889.8467,439.9491
154,127.8084,1.3171,-787.2020,-610.8007,22.9080
155,118.5358,35.0000,-717.2220,-389.9996,571.6486
156,272.4868,-6.4509,989.3961,42.9699,-111.9747
157,88.1189,23.9685,-910.2068,29.8949,404.8692
158,152.5465,-32.3997,-387.9521,-746.7288,-534.0211
159,130.2101,29.9573,-659.4289,-557.4599,497.6759
160,333.7644,-35.0000,360.8998,732.2966,-571.6486
161,163.9257,-11.4021,-270.5070,-938.7730,-197.0290
162,155.3209,-17.4633,-396.9523,-863.8664,-299.0869
163,137.0509,-26.9718,-605.1968,-650.1518,-452.0272
164,343.1067,-4.0023,288.9080,951.3057,-69.5619
165,246.4770,-1.9071,913.3118,-397.5560,-33.1668
166,67.3865,0.4543,-919.9883,383.2080,7.9030
167,137.9868,-0.9484,-666.9612,-740.3916,-16.4971
168,326.3681,-10.8193,542.1818,815.0636,-187.0816
169,144.6820,26.4498,-515.8607,-728.0900,443.9166
170,140.8191,35.0000,-515.7769,-632.8359,571.6486
171,291.8232,-35.0000,757.8917,303.4918,-571.6486
172,300.7923,-35.0000,701.3101,417.9369,-571.6486
173,109.2757,8.7395,-929.8454,-325.1852,151.4310
174,208.3569,18.2271,449.6146,-833.0419,311.7327
175,93.7722,-35.0000,-814.6302,-53.7101,-571.6486
176,149.3019,-5.4371,-506.5091,-853.1237,-94.4340
177,190.7643,-9.5317,183.5724,-965.5845,-165.0366
178,122.5777,14.8118,-811.9230,-518.8011,254.7856
179,124.3066,-35.0000,-674.3730,-460.1393,-571.6486
180,357.2930,3.6746,46.9728,993.4802,63.8752
181,216.5119,-5.3418,590.4152,-797.5527,-92.7835
182,77.7759,-7.9110,-964.7723,209.0160,-137.1714
183,104.1786,20.0341,-907.8074,-229.3503,341.4284
184,258.8071,35.0000,800.8703,-158.4735,571.6486
185,132.3808,-27.5831,-652.5223,-595.4340,-461.4783
186,86.0367,-35.0000,-814.4464,56.4280,-571.6486
187,351.5882,-27.6305,129.1674,873.4807,-462.2083
188,46.1636,-28.6984,-630.5870,605.4799,-478.5847
189,197.7864,-7.7541,301.6584,-940.3242,-134.4691
190,52.4083,-35.0000,-646.8961,498.0286,-571.6486
191,308.4055,-28.9006,683.7339,542.0276,-481.6671
192,359.7858,-8.9178,3.6801,984.5845,-154.4963
193,123.1412,-17.2509,-796.9708,-520.3567,-295.5603
194,5.9445,-29.6022,-89.7443,861.8940,-492.3148
195,97.3542,-35.0000,-809.6831,-104.5009,-571.6486
196,177.5350,-35.0000,-35.1123,-815.6434,-571.6486
197,14.5768,35.0000,-205.4687,790.1201,571.6486
198,182.6071,-3.2908,45.2592,-993.9657,-57.2105
199,239.3664,-24.1167,782.7003,-463.5067,-407.2237
