phantom,method,regime,family,k,n_seeds,psnr_mean,psnr_std,ssim_mean,ssim_std,nrmse_mean,nrmse_std,hfen_mean,hfen_std,roi0_psnr_mean,roi0_psnr_std,roi0_ssim_mean,roi0_ssim_std,roi0_hfen_mean,roi0_hfen_std,roi1_psnr_mean,roi1_psnr_std,roi1_ssim_mean,roi1_ssim_std,roi1_hfen_mean,roi1_hfen_std,roi2_psnr_mean,roi2_psnr_std,roi2_ssim_mean,roi2_ssim_std,roi2_hfen_mean,roi2_hfen_std,roi3_psnr_mean,roi3_psnr_std,roi3_ssim_mean,roi3_ssim_std,roi3_hfen_mean,roi3_hfen_std,roi4_psnr_mean,roi4_psnr_std,roi4_ssim_mean,roi4_ssim_std,roi4_hfen_mean,roi4_hfen_std
lof_flange_v4b,greedy_adam_composite,free-sphere,ours,40,3,33.9856,0.6019,0.8662,0.0058,0.1779,0.0125,8.0846,0.6546,20.7641,1.4198,0.4466,0.1645,1.7906,0.3249,22.0083,1.5105,0.5717,0.114,1.4771,0.3218,24.4618,0.9281,0.4483,0.0224,0.5825,0.0461,24.2415,0.4332,0.407,0.0101,0.5271,0.032,26.059,1.3479,0.2941,0.0293,0.3921,0.0887
lof_flange_v4b,vcls,free-sphere,discrete,40,3,39.076,0.0928,0.9478,0.0012,0.0988,0.0011,4.0976,0.0596,32.9221,0.9128,0.895,0.0162,0.3374,0.0243,34.2316,0.753,0.9095,0.0187,0.2936,0.0136,30.5247,0.6047,0.7088,0.0156,0.2719,0.0185,30.4653,0.3006,0.6284,0.0175,0.2326,0.0064,35.1049,0.0521,0.6589,0.0142,0.1358,0.0003
lof_flange_v4b,greedy_adam_circle,single-axis,ours,40,3,37.9585,0.0,0.9462,0.0,0.1123,0.0,4.7565,0.0,25.3587,0.0,0.7122,0.0,0.8168,0.0,25.1247,0.0,0.7043,0.0,0.8515,0.0,32.6532,0.0,0.7572,0.0,0.1897,0.0,28.2503,0.0,0.5386,0.0,0.3029,0.0,36.6301,0.0001,0.7531,0.0,0.1096,0.0
lof_flange_v4b,vcls_circle,single-axis,discrete,40,3,38.54,0.0386,0.9515,0.0003,0.105,0.0005,4.4294,0.0443,24.5809,0.2697,0.6859,0.0092,0.9628,0.0482,24.5624,0.3865,0.6813,0.0155,0.9695,0.0686,32.4099,0.4963,0.7735,0.0192,0.1751,0.0137,27.8676,0.4477,0.5249,0.0199,0.3216,0.0339,37.0228,0.4172,0.7739,0.0254,0.0995,0.0072
lof_flange_v4b,greedy_adam_composite,free-sphere,ours,80,3,39.3697,0.8628,0.9323,0.0051,0.0959,0.0095,3.9776,0.5204,25.0808,1.9191,0.7447,0.0639,0.9839,0.2298,27.3042,1.5695,0.7988,0.026,0.6849,0.1515,29.7581,1.5349,0.6234,0.0355,0.2931,0.0706,26.4675,1.645,0.4913,0.067,0.4335,0.1129,31.481,3.1646,0.4716,0.07,0.2188,0.1097
lof_flange_v4b,vcls,free-sphere,discrete,80,3,43.171,0.0402,0.9699,0.0006,0.0616,0.0003,2.0992,0.0143,36.9676,1.591,0.9363,0.0187,0.1715,0.0078,38.093,1.1825,0.9419,0.0148,0.1578,0.0159,35.0465,0.0969,0.8347,0.0051,0.1087,0.0033,34.4886,0.4778,0.7605,0.0052,0.1168,0.0039,39.087,0.0531,0.7929,0.0065,0.0712,0.0001
lof_flange_v4b,greedy_adam_circle,single-axis,ours,80,3,41.3337,0.0,0.9666,0.0,0.0761,0.0,2.8661,0.0,25.9978,0.0,0.7337,0.0,0.7242,0.0,26.0091,0.0,0.734,0.0,0.7241,0.0,36.0154,0.0,0.8623,0.0,0.0849,0.0,30.3138,0.0,0.6193,0.0,0.2186,0.0,40.5053,0.0,0.8679,0.0,0.054,0.0
lof_flange_v4b,vcls_circle,single-axis,discrete,80,3,41.6541,0.0166,0.9674,0.0002,0.0734,0.0001,2.7005,0.0103,26.2196,0.0316,0.7436,0.0012,0.7005,0.0057,26.1725,0.0976,0.7414,0.0044,0.7028,0.01,37.1998,0.4311,0.8872,0.0093,0.0694,0.0058,30.6459,0.0632,0.6303,0.0035,0.2092,0.0018,41.4106,0.1043,0.8974,0.0068,0.044,0.0012
