view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
0,126.4363,-6.8129,-796.4958,-588.0063,-118.2793
1,276.2056,-26.2213,889.2236,96.6883,-440.5449
2,205.0995,8.8355,417.9292,-892.2040,153.1478
3,123.1369,-21.8817,-774.7620,-505.7721,-371.5985
4,316.3316,23.0094,633.6862,663.8482,389.7363
5,214.0506,22.7169,514.9748,-762.0287,385.0458
6,68.5075,26.9860,-826.7238,325.5308,452.4430
7,266.9865,-18.6722,943.2830,-49.6574,-319.2152
8,103.4905,-10.7241,-952.6250,-228.5378,-185.5344
9,137.3028,-9.9170,-666.0338,-721.8445,-171.7164
10,170.1369,-3.0357,-170.5530,-980.9538,-52.8037
11,196.1349,18.8074,262.2914,-906.6556,321.4435
12,43.8593,20.0782,-648.8718,675.2374,342.2963
13,71.1389,8.8217,-932.3698,318.5153,152.9104
14,56.9011,-4.9939,-832.1033,542.4185,-86.7949
15,105.0720,13.0845,-937.7735,-252.5395,225.7249
16,261.0329,19.8001,926.6568,-146.2223,337.7472
17,263.2092,-1.8613,989.5519,-117.8356,-32.3853
18,85.4614,14.4294,-962.5890,76.4098,248.4573
19,328.7011,22.9123,477.1128,784.7459,388.1808
20,330.3637,16.4214,472.9313,831.2833,281.8707
21,101.2280,7.9320,-968.6288,-192.2850,137.5927
22,192.8216,14.5409,214.1784,-941.0668,250.3353
23,233.0852,11.6371,780.7999,-586.5571,201.1204
24,103.7356,16.9934,-926.2664,-226.4085,291.4048
25,93.3524,-17.5864,-948.8419,-55.5813,-301.2588
26,219.6376,-25.4543,574.3163,-693.3029,-428.5311
27,103.9535,15.2349,-933.6412,-231.9782,262.0061
28,64.4408,3.5258,-897.7932,429.3653,61.3182
29,264.9252,-21.0027,927.1790,-82.3380,-357.3607
30,24.0526,-15.1734,-392.2141,878.7533,-260.9746
31,84.7351,24.8267,-901.1040,83.0354,418.6452
32,83.6442,-4.8055,-987.4575,109.9898,-83.5280
33,118.6404,19.3552,-825.6157,-450.8955,330.4527
34,325.2687,-2.6127,567.4678,818.5730,-45.4500
35,191.3207,-1.1344,195.6872,-977.4783,-19.7399
36,253.3547,-9.0858,943.3024,-282.0231,-157.4501
37,55.7813,20.5687,-771.9149,524.9612,350.3001
38,222.0897,-8.5910,660.8299,-731.6194,-148.9428
39,95.8364,-24.3995,-903.3112,-92.3349,-411.8862
