impl,baseline,k,photon_count,n_selection,dpsnr_mean,dpsnr_sd,dpsnr_min,dpsnr_max,dssim_mean,dssim_sd,dssim_min,dssim_max,dhfen_mean,dhfen_sd,dhfen_min,dhfen_max
greedy_adam_bundle,greedy_adam,40,10000.0,3,-2.0636,0.0611,-2.1483,-2.0065,-0.0034,0.0059,-0.0107,0.0037,3.7045,0.2592,3.3438,3.9412
greedy_adam_bundle,greedy_adam,80,10000.0,3,-0.6086,0.1634,-0.8393,-0.4825,0.0198,0.0021,0.0179,0.0228,4.1431,0.3341,3.8227,4.6041
greedy_adam_vcl,greedy_adam,40,10000.0,3,-0.648,0.3318,-1.059,-0.2466,-0.0034,0.0151,-0.0246,0.0088,-1.1292,0.4748,-1.7787,-0.657
greedy_adam_vcl,greedy_adam,80,10000.0,3,-2.1251,0.2268,-2.404,-1.8485,-0.0222,0.0041,-0.0279,-0.0185,0.4676,0.2125,0.1797,0.6862
vcls,greedy_adam,40,10000.0,3,-3.0389,0.3025,-3.258,-2.6111,0.0418,0.0044,0.0357,0.0458,-0.1091,0.4835,-0.7928,0.2419
vcls,greedy_adam,80,10000.0,3,-3.5845,0.1016,-3.6976,-3.4513,0.0015,0.0016,-0.0006,0.0034,1.2648,0.2043,1.0274,1.5262
