view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
0,116.3586,-4.6098,-890.1322,-441.0645,-80.1001
1,283.2363,-35.0000,794.7105,186.9286,-571.6486
2,184.2522,33.1318,61.8829,-832.3038,544.7294
3,106.5329,-28.5223,-839.4745,-249.1884,-475.8960
4,317.9567,19.4513,629.3472,697.8988,331.8863
5,200.3729,29.2274,302.7866,-815.3499,486.6355
6,65.0576,35.0000,-740.2551,344.2812,571.6486
7,280.8523,-22.4039,904.9338,173.4811,-379.8529
8,86.9305,-35.0000,-815.2276,43.7157,-571.6486
9,126.6833,3.3908,-797.8550,-594.3415,58.9472
10,181.4167,-23.7577,22.5530,-911.9025,-401.5151
11,187.3055,26.1590,113.7519,-887.2956,439.3817
12,46.0430,22.1246,-664.6139,640.8475,375.3560
13,102.2918,25.3287,-880.1795,-191.7785,426.3734
14,54.9352,-3.8050,-813.9539,571.3090,-66.1383
15,123.9675,35.0000,-677.0843,-456.1403,571.6486
16,266.4929,35.0000,814.8699,-49.9407,571.6486
17,224.3901,25.1287,631.2047,-644.7869,423.2254
18,79.1854,1.8379,-978.4344,186.9052,31.9643
19,313.4986,35.0000,592.2090,561.9569,571.6486
20,319.9745,35.0000,525.0491,625.1645,571.6486
21,125.2883,1.4616,-813.2471,-575.5624,25.4214
22,166.4990,-2.1965,-232.5060,-968.3858,-38.1982
23,234.6547,10.0908,800.3639,-567.6398,174.6192
24,143.5764,10.9054,-581.0686,-787.4620,188.5529
25,77.1857,-24.8516,-881.8256,200.5771,-418.8576
26,239.0777,-25.8880,769.1833,-460.7542,-435.1460
27,112.0670,2.2009,-922.9490,-374.1516,38.2740
28,92.2758,1.1142,-995.6646,-39.5694,19.3805
29,295.6690,-26.5948,803.2398,386.0376,-446.1727
30,36.5369,5.1837,-590.9126,797.4982,90.0454
31,131.1870,28.8517,-656.9343,-574.8389,480.9231
32,73.7655,22.4551,-884.3459,257.5031,380.6754
33,122.5860,35.0000,-687.8848,-439.6836,571.6486
34,324.5156,1.9937,578.1797,811.0458,34.6735
35,193.0563,-2.3992,224.9516,-970.0234,-41.7211
36,250.9529,-18.4424,893.6904,-308.5448,-315.2883
37,25.0245,15.5016,-406.2481,870.2303,266.3662
38,211.5193,17.8710,495.8885,-808.6061,305.8432
39,104.4044,-35.0000,-790.7346,-203.0911,-571.6486
40,190.0830,-10.2194,171.7174,-965.6794,-176.8213
41,313.2368,32.1518,614.7297,578.0129,530.3750
42,5.0876,-1.5827,-88.3474,992.3338,-27.5265
43,109.9934,-27.4370,-831.2260,-302.4339,-459.2237
44,0.0028,35.0000,-0.0400,816.3989,571.6486
45,208.2616,-21.1314,440.1739,-818.8055,-359.2960
46,107.9372,-21.1045,-884.5972,-286.3512,-358.8594
47,141.2186,35.0000,-511.3522,-636.4166,571.6486
48,71.9511,-9.1679,-935.4921,304.8419,-158.7932
49,31.6513,-35.0000,-428.4035,694.9659,-571.6486
50,182.9402,-28.6532,44.8614,-873.4371,-477.8957
51,265.8645,-18.9921,939.9319,-67.9608,-324.3435
52,202.0592,3.6093,373.5598,-921.8492,62.7406
53,138.4951,-2.8402,-659.6450,-745.4657,-49.3836
54,252.1542,35.0000,777.1176,-250.1907,571.6486
55,13.5617,22.9147,-215.2616,892.3946,388.0509
56,218.4174,-15.1739,597.7059,-753.6472,-260.8694
57,122.5702,-35.0000,-688.0059,-439.4940,-571.6486
58,133.0705,-13.2450,-708.6915,-662.4980,-228.3461
59,243.7679,-35.0000,732.3188,-360.8549,-571.6486
60,350.1621,-31.8721,144.6122,833.9289,-526.2501
61,53.5250,-1.6733,-801.0720,592.2212,-29.1028
62,43.5675,2.2336,-686.3706,721.5787,38.8427
63,317.4496,35.0000,552.0806,601.4267,571.6486
64,45.7899,35.0000,-585.1849,569.2676,571.6486
65,109.5575,28.9555,-821.7427,-291.9226,482.5032
66,175.4994,16.8345,-74.8547,-950.9868,288.6348
67,259.8114,13.0104,955.7416,-171.7695,224.3716
68,76.2371,35.0000,-792.9590,194.2244,571.6486
69,276.0625,-35.0000,811.8330,86.2222,-571.6486
70,96.6418,-1.1621,-989.7466,-115.2488,-20.2136
71,128.5295,-14.2779,-755.5751,-601.6476,-245.7960
72,34.1738,-23.9179,-511.7446,753.7498,-404.0644
73,101.7556,32.1955,-825.7012,-171.8304,531.0190
74,68.4719,-35.0000,-759.4448,299.5842,-571.6486
75,79.0677,-16.4807,-938.3483,181.2459,-282.7394
76,214.0370,35.0000,456.9619,-676.5301,571.6486
77,279.9746,-14.1128,951.9483,167.4184,-243.0117
78,152.5090,-31.1054,-393.9095,-756.9846,-514.8776
79,96.6798,-30.2390,-855.1835,-100.1557,-501.9157
80,325.5758,1.7175,563.1619,821.7333,29.8711
81,226.5529,35.0000,592.7139,-561.4244,571.6486
82,342.8348,10.9242,288.8059,934.9905,188.8731
83,62.4498,35.0000,-723.8241,377.6053,571.6486
84,152.3579,-27.1467,-411.4519,-785.6279,-454.7366
85,165.1766,-30.2968,-220.1570,-831.8824,-502.7841
86,242.8158,-31.2458,757.9583,-389.2731,-516.9670
87,344.1416,-4.9848,271.3120,955.0809,-86.5994
88,154.9246,-17.9003,-401.9403,-859.0086,-306.3289
89,193.6526,-25.0601,213.0957,-877.3103,-422.1445
90,192.2003,-35.0000,172.5290,-797.9604,-571.6486
91,243.7315,2.1630,893.0794,-440.7760,37.6157
92,350.3359,-5.6236,166.5014,977.7670,-97.6635
93,234.5878,-0.6324,812.2153,-577.4725,-11.0004
94,167.6087,-33.6563,-178.0169,-810.2539,-552.3476
95,228.3365,-35.0000,609.9001,-542.7053,-571.6486
96,182.5169,0.4646,43.7651,-995.6448,8.0808
97,162.2564,-35.0000,-248.8040,-777.5627,-571.6486
98,13.8365,25.2671,-215.5445,875.1349,425.4041
99,247.2033,1.5840,918.4358,-386.0129,27.5500
100,113.1713,35.0000,-750.5418,-321.2384,571.6486
101,114.1393,-4.4327,-906.7661,-406.3636,-77.0279
102,162.9600,14.7026,-282.4921,-921.6854,252.9496
103,85.8267,35.0000,-814.2341,59.4128,571.6486
104,251.2599,24.3202,860.0483,-291.7809,410.4510
105,32.7740,35.0000,-441.9383,686.4384,571.6486
106,108.6474,-31.8670,-801.9883,-270.6371,-526.1745
107,324.7472,-20.6622,538.2433,761.5182,-351.6724
108,317.5151,21.5831,625.9300,683.4439,366.6133
109,267.9639,-25.6472,897.8793,-31.9212,-431.3734
110,298.4745,35.0000,717.6389,389.2320,571.6486
111,274.3652,35.0000,814.0306,62.1389,571.6486
112,344.9627,-12.1463,252.7878,940.9638,-209.7012
113,40.1666,-10.0306,-633.0178,749.9630,-173.5891
114,252.8652,-23.8248,871.2437,-268.6087,-402.5831
115,336.1964,6.9648,399.2786,905.1302,120.8521
116,286.1082,35.0000,784.3466,226.5117,571.6486
117,108.7737,-35.0000,-772.9639,-262.7428,-571.6486
118,352.7700,-30.4616,108.1164,852.2413,-505.2573
119,41.9979,-6.5852,-662.4544,735.7854,-114.2946
120,114.7802,-9.8602,-891.5049,-411.5584,-170.6693
121,268.8942,-13.1569,970.2968,-18.7281,-226.8537
122,331.1419,-6.4681,477.9575,867.3184,-112.2707
123,112.5166,-28.7654,-807.0517,-334.5659,-479.6066
124,265.3711,-35.0000,813.7360,-65.8848,-571.6486
125,251.0660,9.5179,929.7361,-318.9373,164.7999
126,67.6310,1.4429,-921.3515,379.1712,25.0967
127,171.3840,31.4096,-127.4296,-840.9955,519.4011
128,122.9948,-29.2280,-729.4775,-473.6338,-486.6445
129,269.2511,-18.5028,945.0403,-12.3534,-316.2837
130,51.5631,-35.0000,-639.4796,507.5165,-571.6486
